code,ts,open,high,low,close,pb,pa,nticks,vol,amt,vwap,mid_close
IF0000,2024-06-11 14:07:00,3528.4,3529.6,3528.4,3528.6,3528.2,3528.6,85,85.0,89983440.0,3528.7623529411767,3528.3999999999996
IF0000,2024-06-11 14:08:00,3528.4,3528.4,3526.0,3526.2,3526.2,3526.6,106,161.0,170361360.0,3527.1503105590064,3526.3999999999996
IF0000,2024-06-11 14:09:00,3526.2,3527.8,3526.2,3527.4,3526.8,3527.8,88,107.0,113221260.0,3527.1420560747665,3527.3
IF0000,2024-06-11 14:10:00,3527.4,3527.6,3526.6,3527.4,3527.4,3527.6,92,91.0,96289260.0,3527.079120879121,3527.5
IF0000,2024-06-11 14:11:00,3527.6,3529.4,3527.6,3528.4,3528.2,3528.6,88,98.0,103745880.0,3528.7714285714287,3528.3999999999996
IF0000,2024-06-11 14:12:00,3528.6,3530.8,3528.4,3530.4,3530.2,3530.4,91,150.0,158850900.0,3530.02,3530.3
IF0000,2024-06-11 14:13:00,3530.2,3531.0,3529.8,3531.0,3530.6,3531.0,93,140.0,148271160.0,3530.2657142857142,3530.8
IF0000,2024-06-11 14:14:00,3531.0,3534.8,3530.6,3534.2,3533.8,3534.0,116,476.0,504516900.0,3533.031512605042,3533.9
IF0000,2024-06-11 14:15:00,3533.8,3536.4,3533.8,3535.8,3535.6,3535.8,119,477.0,505914240.0,3535.3895178197067,3535.7
IF0000,2024-06-11 14:16:00,3535.8,3537.8,3535.0,3537.8,3537.2,3537.8,117,283.0,300273420.0,3536.7893992932864,3537.5
IF0000,2024-06-11 14:17:00,3537.8,3538.6,3537.2,3538.2,3538.2,3538.6,119,343.0,364060500.0,3538.002915451895,3538.3999999999996
IF0000,2024-06-11 14:18:00,3538.2,3538.8,3536.8,3537.8,3537.8,3538.0,117,397.0,421354980.0,3537.8251889168764,3537.9
IF0000,2024-06-11 14:19:00,3538.0,3541.0,3537.8,3540.6,3540.2,3540.4,118,579.0,614763960.0,3539.228324697755,3540.3
IF0000,2024-06-11 14:20:00,3540.4,3542.0,3539.2,3539.2,3539.2,3539.6,117,427.0,453561960.0,3540.6866510538644,3539.3999999999996
IF0000,2024-06-11 14:21:00,3539.2,3540.2,3538.4,3539.0,3538.6,3539.0,114,196.0,208099980.0,3539.115306122449,3538.8
IF0000,2024-06-11 14:22:00,3539.0,3541.0,3538.2,3539.8,3539.6,3540.0,109,251.0,266548500.0,3539.820717131474,3539.8
IF0000,2024-06-11 14:23:00,3540.0,3541.0,3538.6,3541.0,3541.0,3541.2,113,227.0,241076040.0,3540.0299559471364,3541.1
IF0000,2024-06-11 14:24:00,3541.2,3543.0,3539.8,3541.4,3541.4,3541.6,117,442.0,469652100.0,3541.871040723982,3541.5
IF0000,2024-06-11 14:25:00,3541.4,3543.0,3541.4,3541.4,3541.0,3541.4,112,229.0,243353940.0,3542.2698689956333,3541.2
IF0000,2024-06-11 14:26:00,3541.4,3542.4,3540.6,3542.0,3541.6,3542.0,115,223.0,236923260.0,3541.453811659193,3541.8
IF0000,2024-06-11 14:27:00,3541.8,3541.8,3539.6,3540.2,3540.0,3540.4,109,214.0,227304360.0,3540.5663551401867,3540.2
IF0000,2024-06-11 14:28:00,3540.2,3541.0,3539.2,3540.0,3539.8,3540.4,109,252.0,267627480.0,3540.0460317460315,3540.1000000000004
IF0000,2024-06-11 14:29:00,3540.4,3542.2,3540.4,3541.2,3541.0,3541.2,96,198.0,210364500.0,3541.489898989899,3541.1
IF0000,2024-06-11 14:30:00,3541.0,3541.0,3536.4,3537.0,3536.4,3537.0,114,250.0,265408560.0,3538.7808,3536.7
IF0000,2024-06-11 14:31:00,3536.4,3537.4,3534.6,3537.0,3536.6,3537.0,115,361.0,382925700.0,3535.786703601108,3536.8
IF0000,2024-06-11 14:32:00,3536.8,3537.4,3535.2,3536.6,3536.0,3536.8,109,182.0,193067460.0,3536.034065934066,3536.4
IF0000,2024-06-11 14:33:00,3537.0,3537.0,3534.0,3536.0,3535.8,3536.0,113,217.0,230158020.0,3535.453456221198,3535.9
IF0000,2024-06-11 14:34:00,3536.0,3536.6,3534.8,3535.6,3535.6,3536.0,101,126.0,133653420.0,3535.804761904762,3535.8
IF0000,2024-06-11 14:35:00,3535.6,3537.0,3535.6,3536.4,3536.4,3536.8,96,146.0,154897500.0,3536.472602739726,3536.6000000000004
IF0000,2024-06-11 14:36:00,3536.4,3538.8,3536.4,3538.0,3537.6,3538.2,104,183.0,194223480.0,3537.768306010929,3537.8999999999996
IF0000,2024-06-11 14:37:00,3538.2,3538.2,3536.6,3536.8,3536.6,3537.4,100,109.0,115674720.0,3537.4532110091745,3537.0
IF0000,2024-06-11 14:38:00,3536.6,3538.6,3536.6,3538.0,3537.6,3538.0,98,134.0,142212960.0,3537.6358208955226,3537.8
IF0000,2024-06-11 14:39:00,3537.6,3539.2,3537.6,3538.2,3537.8,3538.2,87,126.0,133748160.0,3538.311111111111,3538.0
IF0000,2024-06-11 14:40:00,3538.2,3539.0,3534.0,3534.6,3534.8,3535.2,100,195.0,206865120.0,3536.1558974358973,3535.0
IF0000,2024-06-11 14:41:00,3535.2,3538.0,3534.4,3537.8,3537.4,3537.6,99,152.0,161250840.0,3536.202631578947,3537.5
IF0000,2024-06-11 14:42:00,3537.4,3538.0,3535.0,3536.0,3536.0,3536.2,99,165.0,175050780.0,3536.379393939394,3536.1
IF0000,2024-06-11 14:43:00,3536.2,3538.2,3535.4,3535.6,3535.8,3536.0,86,110.0,116706660.0,3536.5654545454545,3535.9
IF0000,2024-06-11 14:44:00,3535.6,3535.8,3533.8,3534.0,3534.0,3534.2,96,176.0,186625080.0,3534.565909090909,3534.1
IF0000,2024-06-11 14:45:00,3534.0,3536.0,3533.8,3536.0,3535.8,3536.2,98,267.0,283143840.0,3534.8794007490637,3536.0
IF0000,2024-06-11 14:46:00,3536.2,3536.2,3534.0,3535.6,3535.2,3535.6,87,147.0,155884860.0,3534.804081632653,3535.3999999999996
IF0000,2024-06-11 14:47:00,3535.4,3535.6,3534.0,3535.4,3534.8,3535.4,83,124.0,131493420.0,3534.7693548387097,3535.1000000000004
IF0000,2024-06-11 14:48:00,3535.4,3535.4,3534.2,3534.2,3534.2,3534.8,103,145.0,153764340.0,3534.8124137931036,3534.5
IF0000,2024-06-11 14:49:00,3534.2,3535.2,3533.6,3534.2,3533.6,3534.4,104,182.0,192989760.0,3534.610989010989,3534.0
IF0000,2024-06-11 14:50:00,3533.6,3535.0,3533.6,3534.6,3534.6,3535.0,102,208.0,220545120.0,3534.376923076923,3534.8
IF0000,2024-06-11 14:51:00,3534.4,3535.6,3534.4,3535.0,3535.0,3535.2,89,148.0,156952380.0,3534.9635135135136,3535.1
IF0000,2024-06-11 14:52:00,3535.0,3535.4,3534.0,3534.4,3534.4,3534.6,103,132.0,139969320.0,3534.578787878788,3534.5
IF0000,2024-06-11 14:53:00,3534.4,3536.6,3534.4,3535.6,3535.4,3535.6,109,277.0,293824440.0,3535.7935018050543,3535.5
IF0000,2024-06-11 14:54:00,3535.6,3536.0,3534.8,3536.0,3535.8,3536.0,99,212.0,224843520.0,3535.275471698113,3535.9
IF0000,2024-06-11 14:55:00,3535.8,3537.4,3535.2,3537.4,3537.4,3537.6,116,366.0,388306920.0,3536.4928961748633,3537.5
IF0000,2024-06-11 14:56:00,3537.6,3538.4,3537.0,3538.2,3538.2,3538.6,109,257.0,272767140.0,3537.8357976653697,3538.3999999999996
IF0000,2024-06-11 14:57:00,3538.2,3538.8,3536.4,3537.0,3536.2,3537.0,119,487.0,516885120.0,3537.8858316221767,3536.6
IF0000,2024-06-11 14:58:00,3536.4,3537.2,3535.0,3535.8,3535.8,3536.0,115,383.0,406290120.0,3536.032375979112,3535.9
IF0000,2024-06-11 14:59:00,3535.8,3536.6,3534.6,3536.6,3536.4,3536.6,118,528.0,560010840.0,3535.42196969697,3536.5
IF0000,2024-06-12 09:30:00,3533.6,3535.6,3530.2,3532.2,3532.2,3532.4,120,1276.0,1352319300.0,3532.7045454545455,3532.3
IF0000,2024-06-12 09:31:00,3532.4,3536.6,3531.2,3536.4,3535.8,3536.4,120,787.0,834249180.0,3533.4569250317663,3536.1000000000004
IF0000,2024-06-12 09:32:00,3536.0,3537.8,3534.2,3535.4,3535.6,3535.8,119,633.0,671516160.0,3536.1567140600314,3535.7
IF0000,2024-06-12 09:33:00,3535.8,3537.6,3534.8,3537.6,3537.6,3538.0,120,468.0,496498920.0,3536.317094017094,3537.8
IF0000,2024-06-12 09:34:00,3537.6,3541.4,3537.6,3541.2,3541.2,3541.4,120,632.0,671151420.0,3539.828164556962,3541.3
IF0000,2024-06-12 09:35:00,3541.2,3541.2,3537.2,3538.0,3537.8,3538.0,117,526.0,558493740.0,3539.2505703422053,3537.9
