code,d,mn,close
IC0000,2023-03-02,1970-01-01 14:49:00,6375.9
IC0000,2023-03-02,1970-01-01 14:50:00,6376.700000000001
IC0000,2023-03-02,1970-01-01 14:51:00,6374.1
IC0000,2023-03-02,1970-01-01 14:52:00,6375.1
IC0000,2023-03-02,1970-01-01 14:53:00,6376.6
IC0000,2023-03-02,1970-01-01 14:54:00,6379.4
IC0000,2023-03-02,1970-01-01 14:55:00,6380.299999999999
IC0000,2023-03-02,1970-01-01 14:56:00,6381.5
IC0000,2023-03-02,1970-01-01 14:57:00,6381.6
IC0000,2023-03-02,1970-01-01 14:58:00,6380.8
IC0000,2023-03-02,1970-01-01 14:59:00,6381.7
IC0000,2023-03-02,1970-01-01 15:00:00,6381.6
IC0000,2023-03-03,1970-01-01 09:30:00,6383.9
IC0000,2023-03-03,1970-01-01 09:31:00,6391.1
IC0000,2023-03-03,1970-01-01 09:32:00,6394.299999999999
IC0000,2023-03-03,1970-01-01 09:33:00,6392.9
IC0000,2023-03-03,1970-01-01 09:34:00,6393.1
IC0000,2023-03-03,1970-01-01 09:35:00,6396.8
IC0000,2023-03-03,1970-01-01 09:36:00,6391.9
IC0000,2023-03-03,1970-01-01 09:37:00,6390.6
IC0000,2023-03-03,1970-01-01 09:38:00,6390.6
IC0000,2023-03-03,1970-01-01 09:39:00,6389.1
IC0000,2023-03-03,1970-01-01 09:40:00,6386.7
IC0000,2023-03-03,1970-01-01 09:41:00,6382.1
IC0000,2023-03-03,1970-01-01 09:42:00,6384.4
IC0000,2023-03-03,1970-01-01 09:43:00,6388.1
IC0000,2023-03-03,1970-01-01 09:44:00,6387.0
IC0000,2023-03-03,1970-01-01 09:45:00,6387.4
IC0000,2023-03-03,1970-01-01 09:46:00,6385.0
IC0000,2023-03-03,1970-01-01 09:47:00,6382.6
IC0000,2023-03-03,1970-01-01 09:48:00,6381.799999999999
IC0000,2023-03-03,1970-01-01 09:49:00,6383.7
IC0000,2023-03-03,1970-01-01 09:50:00,6386.3
IC0000,2023-03-03,1970-01-01 09:51:00,6384.0
IC0000,2023-03-03,1970-01-01 09:52:00,6387.799999999999
IC0000,2023-03-03,1970-01-01 09:53:00,6385.5
IC0000,2023-03-03,1970-01-01 09:54:00,6388.4
IC0000,2023-03-03,1970-01-01 09:55:00,6389.1
IC0000,2023-03-03,1970-01-01 09:56:00,6388.9
IC0000,2023-03-03,1970-01-01 09:57:00,6388.9
IC0000,2023-03-03,1970-01-01 09:58:00,6388.3
IC0000,2023-03-03,1970-01-01 09:59:00,6386.6
IC0000,2023-03-03,1970-01-01 10:00:00,6387.6
IC0000,2023-03-03,1970-01-01 10:01:00,6383.2
