code,half,k,n,mean_bp,hit,t
IH0000,H1,9,220,-0.313,0.491,-0.36
IH0000,H2,9,235,0.417,0.506,0.28
IH0000,full,10,388,0.059,0.49,-0.02
IH0000,H1,10,190,-0.333,0.484,-0.42
IH0000,H2,10,198,0.435,0.495,0.32
IH0000,full,11,354,-0.1,0.489,-0.26
IH0000,H1,11,171,-0.507,0.48,-0.66
IH0000,H2,11,183,0.281,0.497,0.2
IH0000,full,12,300,0.15,0.49,0.3
IH0000,H1,12,142,-0.152,0.479,-0.04
IH0000,H2,12,158,0.42,0.5,0.41
IH0000,full,13,250,0.12,0.484,0.64
IH0000,H1,13,113,-0.187,0.478,0.54
IH0000,H2,13,137,0.374,0.489,0.36
IH0000,full,14,218,0.537,0.505,1.67
IH0000,H1,14,98,0.091,0.49,1.34
IH0000,H2,14,120,0.902,0.517,0.98
IH0000,full,15,176,0.643,0.517,1.75
IH0000,H1,15,78,0.334,0.526,1.42
IH0000,H2,15,98,0.889,0.51,1.02
IH0000,full,16,150,1.087,0.527,2.34
IH0000,H1,16,65,0.311,0.538,1.43
IH0000,H2,16,85,1.681,0.518,1.83
IH0000,full,17,129,0.854,0.512,1.83
IH0000,H1,17,57,-0.408,0.491,0.96
IH0000,H2,17,72,1.853,0.528,1.55
IH0000,full,18,100,1.231,0.51,2.22
IH0000,H1,18,43,-0.551,0.465,0.75
IH0000,H2,18,57,2.576,0.544,2.35
IH0000,full,19,86,1.474,0.512,2.39
IH0000,H1,19,36,-0.478,0.444,1.18
IH0000,H2,19,50,2.88,0.56,2.13
IH0000,full,20,65,2.481,0.538,2.91
IH0000,H1,20,24,1.501,0.5,2.12
IH0000,H2,20,41,3.054,0.561,1.96
IH0000,full,21,54,3.431,0.593,2.88
IH0000,H1,21,19,2.166,0.526,1.78
IH0000,H2,21,35,4.118,0.629,2.19
IH0000,full,22,50,3.474,0.56,2.75
IH0000,H1,22,18,2.205,0.5,1.71
IH0000,H2,22,32,4.188,0.594,2.1
IH0000,full,23,41,3.366,0.537,1.9
IH0000,H1,23,15,1.218,0.467,0.46
IH0000,H2,23,26,4.604,0.577,2.09
IH0000,full,24,36,3.331,0.528,1.4
IH0000,H1,24,15,1.218,0.467,0.46
IH0000,H2,24,21,4.841,0.571,1.39
IH0000,full,25,28,5.251,0.643,2.08
IH0000,H1,25,12,2.971,0.583,1.05
IH0000,H2,25,16,6.962,0.688,1.79
IH0000,full,26,23,6.996,0.739,2.09
IH0000,H1,26,10,3.835,0.6,1.32
IH0000,H2,26,13,9.427,0.846,1.52
IH0000,full,27,21,7.612,0.762,2.2
IH0000,H1,27,8,4.663,0.625,1.47
IH0000,H2,27,13,9.427,0.846,1.52
IH0000,full,28,19,9.091,0.789,2.6
IH0000,H1,28,7,8.162,0.714,2.04
IH0000,H2,28,12,9.633,0.833,1.57
IH0000,full,29,16,9.246,0.812,2.11
IH0000,H1,29,4,8.086,0.75,1.24
IH0000,H2,29,12,9.633,0.833,1.57
IH0000,full,30,13,9.935,0.846,2.08
IH0000,H1,30,2,11.15,1.0,1.11
IH0000,H2,30,11,9.715,0.818,1.61
IH0000,full,31,13,9.935,0.846,2.08
IH0000,H1,31,2,11.15,1.0,1.11
IH0000,H2,31,11,9.715,0.818,1.61
IH0000,full,32,11,10.219,0.818,1.62
IH0000,H1,32,2,11.15,1.0,1.11
IH0000,H2,32,9,10.013,0.778,1.11
IH0000,full,33,10,10.858,0.8,1.69
IH0000,H1,33,2,11.15,1.0,1.11
IH0000,H2,33,8,10.786,0.75,1.2
IH0000,full,34,10,10.858,0.8,1.69
IH0000,H1,34,2,11.15,1.0,1.11
IH0000,H2,34,8,10.786,0.75,1.2
IH0000,full,35,8,11.165,0.75,1.18
IH0000,H1,35,2,11.15,1.0,1.11
IH0000,H2,35,6,11.17,0.667,0.65
IH0000,full,36,8,11.165,0.75,1.18
IH0000,H1,36,2,11.15,1.0,1.11
IH0000,H2,36,6,11.17,0.667,0.65
IH0000,full,37,6,14.411,0.667,1.1
IH0000,H1,37,1,21.232,1.0,
IH0000,H2,37,5,13.046,0.6,0.58
IH0000,full,38,6,14.411,0.667,1.1
IH0000,H1,38,1,21.232,1.0,
IH0000,H2,38,5,13.046,0.6,0.58
IH0000,full,39,6,14.411,0.667,1.1
IH0000,H1,39,1,21.232,1.0,
IH0000,H2,39,5,13.046,0.6,0.58
IH0000,full,40,5,13.046,0.6,0.58
IH0000,H2,40,5,13.046,0.6,0.58
IM0000,full,0,1060,-0.423,0.479,-2.16
IM0000,H1,0,529,-0.257,0.493,-0.84
IM0000,H2,0,531,-0.588,0.465,-2.4
IM0000,full,1,1028,-0.474,0.479,-2.3
IM0000,H1,1,515,-0.259,0.493,-0.83
IM0000,H2,1,513,-0.691,0.464,-2.61
IM0000,full,2,998,-0.519,0.477,-2.53
IM0000,H1,2,503,-0.371,0.489,-1.18
IM0000,H2,2,495,-0.669,0.465,-2.48
IM0000,full,3,972,-0.514,0.475,-2.45
IM0000,H1,3,490,-0.301,0.49,-0.96
IM0000,H2,3,482,-0.731,0.461,-2.56
IM0000,full,4,927,-0.458,0.476,-2.4
IM0000,H1,4,470,-0.258,0.487,-0.97
IM0000,H2,4,457,-0.664,0.464,-2.42
IM0000,full,5,871,-0.444,0.475,-2.3
IM0000,H1,5,447,-0.248,0.488,-0.93
IM0000,H2,5,424,-0.65,0.462,-2.28
IM0000,full,6,839,-0.396,0.479,-2.04
IM0000,H1,6,431,-0.169,0.497,-0.62
IM0000,H2,6,408,-0.635,0.461,-2.21
IM0000,full,7,805,-0.535,0.471,-2.63
IM0000,H1,7,410,-0.346,0.488,-1.17
IM0000,H2,7,395,-0.732,0.453,-2.59
IM0000,full,8,773,-0.641,0.466,-3.0
IM0000,H1,8,394,-0.423,0.482,-1.46
IM0000,H2,8,379,-0.867,0.449,-2.75
IM0000,full,9,741,-0.63,0.468,-2.82
IM0000,H1,9,372,-0.406,0.487,-1.33
IM0000,H2,9,369,-0.857,0.45,-2.67
IM0000,full,10,697,-0.504,0.476,-2.07
IM0000,H1,10,348,-0.312,0.489,-0.92
IM0000,H2,10,349,-0.695,0.464,-1.98
IM0000,full,11,661,-0.381,0.484,-1.57
IM0000,H1,11,328,-0.289,0.491,-0.76
IM0000,H2,11,333,-0.471,0.477,-1.46
IM0000,full,12,630,-0.438,0.478,-1.72
IM0000,H1,12,314,-0.344,0.484,-0.89
IM0000,H2,12,316,-0.531,0.472,-1.49
IM0000,full,13,606,-0.454,0.477,-1.9
IM0000,H1,13,299,-0.38,0.485,-1.13
IM0000,H2,13,307,-0.525,0.469,-1.49
IM0000,full,14,584,-0.467,0.476,-1.85
IM0000,H1,14,290,-0.367,0.483,-0.99
IM0000,H2,14,294,-0.565,0.469,-1.57
IM0000,full,15,548,-0.499,0.478,-2.03
IM0000,H1,15,276,-0.19,0.493,-0.84
IM0000,H2,15,272,-0.813,0.463,-1.9
IM0000,full,16,522,-0.461,0.485,-1.93
IM0000,H1,16,263,-0.083,0.506,-0.59
IM0000,H2,16,259,-0.844,0.463,-1.93
IM0000,full,17,506,-0.455,0.484,-1.86
IM0000,H1,17,254,-0.011,0.508,-0.23
IM0000,H2,17,252,-0.903,0.46,-2.09
IM0000,full,18,482,-0.569,0.479,-2.14
IM0000,H1,18,242,-0.081,0.504,-0.54
IM0000,H2,18,240,-1.062,0.454,-2.24
IM0000,full,19,464,-0.504,0.483,-1.84
IM0000,H1,19,232,-0.04,0.513,-0.29
IM0000,H2,19,232,-0.968,0.453,-2.01
IM0000,full,20,432,-0.459,0.486,-1.61
IM0000,H1,20,215,0.028,0.521,0.22
IM0000,H2,20,217,-0.941,0.452,-2.0
IM0000,full,21,414,-0.543,0.483,-1.54
IM0000,H1,21,203,0.061,0.527,0.72
IM0000,H2,21,211,-1.123,0.441,-2.36
IM0000,full,22,393,-0.569,0.478,-1.37
IM0000,H1,22,194,0.032,0.526,0.49
IM0000,H2,22,199,-1.155,0.432,-1.97
IM0000,full,23,369,-0.353,0.496,-0.71
IM0000,H1,23,182,0.23,0.544,0.82
IM0000,H2,23,187,-0.92,0.449,-1.52
IM0000,full,24,344,-0.379,0.5,-0.72
IM0000,H1,24,166,0.265,0.554,0.83
IM0000,H2,24,178,-0.981,0.449,-1.63
IM0000,full,25,324,-0.345,0.5,-0.55
IM0000,H1,25,155,0.325,0.548,0.87
IM0000,H2,25,169,-0.959,0.456,-1.53
IM0000,full,26,314,-0.274,0.506,-0.31
IM0000,H1,26,153,0.291,0.542,0.73
IM0000,H2,26,161,-0.811,0.472,-1.1
IM0000,full,27,290,-0.148,0.517,-0.05
IM0000,H1,27,144,0.248,0.542,0.77
IM0000,H2,27,146,-0.54,0.493,-0.77
IM0000,full,28,273,-0.141,0.513,0.21
IM0000,H1,28,135,0.189,0.533,0.8
IM0000,H2,28,138,-0.463,0.493,-0.39
IM0000,full,29,259,-0.199,0.506,0.21
IM0000,H1,29,130,0.006,0.523,0.71
IM0000,H2,29,129,-0.407,0.488,-0.27
IM0000,full,30,243,0.011,0.514,0.32
IM0000,H1,30,124,0.198,0.532,0.85
IM0000,H2,30,119,-0.184,0.496,-0.21
IM0000,full,31,227,-0.031,0.511,0.11
IM0000,H1,31,119,0.037,0.529,0.74
IM0000,H2,31,108,-0.106,0.491,-0.33
IM0000,full,32,213,-0.004,0.512,0.25
IM0000,H1,32,112,0.095,0.527,0.87
IM0000,H2,32,101,-0.113,0.495,-0.21
IM0000,full,33,201,-0.175,0.512,0.14
IM0000,H1,33,108,-0.077,0.528,0.47
IM0000,H2,33,93,-0.289,0.495,-0.09
IM0000,full,34,185,-0.486,0.492,-0.36
IM0000,H1,34,101,-0.43,0.495,-0.26
IM0000,H2,34,84,-0.554,0.488,-0.25
IM0000,full,35,170,-0.287,0.506,-0.2
IM0000,H1,35,92,-0.494,0.489,-0.27
IM0000,H2,35,78,-0.042,0.526,-0.07
IM0000,full,36,158,0.057,0.532,0.5
IM0000,H1,36,85,0.147,0.529,0.38
IM0000,H2,36,73,-0.047,0.534,0.34
IM0000,full,37,148,0.337,0.547,0.72
IM0000,H1,37,79,0.217,0.544,0.57
IM0000,H2,37,69,0.475,0.551,0.47
IM0000,full,38,136,0.189,0.537,0.74
IM0000,H1,38,71,-0.151,0.521,0.51
IM0000,H2,38,65,0.561,0.554,0.53
IM0000,full,39,128,0.394,0.547,1.24
IM0000,H1,39,69,-0.165,0.522,0.55
IM0000,H2,39,59,1.048,0.576,1.11
IM0000,full,40,116,0.725,0.569,1.43
IM0000,H1,40,60,0.249,0.55,0.83
IM0000,H2,40,56,1.235,0.589,1.14
