product,thr_ticks,month,active_mins,pct_profitable,mean_ret_active,mean_daily_pnl
IC2302,2,2023-01,2967,0.49511290866194807,7.859388703340606e-07,0.00015545870855207717
IC2302,2,2023-02,2695,0.5064935064935064,8.869455744679812e-06,0.0018387064024547766
IC2302,3,ALL,5329,0.5006567836367048,5.720096437342602e-06,0.0010886569255213832
IC2302,3,2023-01,2768,0.4945809248554913,6.815054130243412e-07,0.00012576046555009177
IC2302,3,2023-02,2561,0.5072237407262788,1.1165945697519466e-05,0.002199691302411335
IC2302,5,ALL,4490,0.49888641425389757,4.9729545494469774e-06,0.0007974487831077475
IC2302,5,2023-01,2301,0.4884832681442851,-1.9481711939854075e-06,-0.0002988494611573615
IC2302,5,2023-02,2189,0.5098218364550022,1.2248199106613684e-05,0.002062408295721335
IC2302,8,ALL,3545,0.4967559943582511,2.261439114679128e-06,0.00028631434505491105
IC2302,8,2023-01,1762,0.47956867196367764,-1.0180678912300263e-05,-0.0011958904162315375
IC2302,8,2023-02,1783,0.5137408861469434,1.4557015089742328e-05,0.0019965506080777363
IC2302,10,ALL,2831,0.49982338396326387,5.388237405846488e-06,0.0005447892891411217
