product,thr_ticks,month,bucket,active,hit_rate,mean_ret,total
IC0000,10,2023-03,09:30,45,0.5333333333333333,2.371957881056967e-05,0.001067381046475635
IC0000,10,2023-03,10:00,52,0.5192307692307693,3.916974978917862e-05,0.002036826989037288
IC0000,10,2023-03,10:30,47,0.6382978723404256,0.00011402196541700717,0.005359032374599337
IC0000,10,2023-03,11:00,39,0.48717948717948717,-5.1886600237816276e-05,-0.002023577409274835
IC0000,10,2023-03,13:00,36,0.5,-5.063950236449307e-05,-0.0018230220851217505
IC0000,10,2023-03,13:30,34,0.5,1.859631410831923e-05,0.0006322746796828538
IC0000,10,2023-03,14:00,31,0.3225806451612903,-0.00010315047033225868,-0.003197664580300019
IC0000,10,2023-03,14:30,24,0.4583333333333333,3.205096470133376e-05,0.0007692231528320104
IC0000,15,ALL,09:30,465,0.5204301075268817,7.86519043260693e-05,0.03657313551162222
IC0000,15,ALL,10:00,380,0.4789473684210526,-7.848618623614681e-07,-0.00029824750769735786
IC0000,15,ALL,10:30,334,0.5119760479041916,-1.6798638803447767e-07,-5.6107453603515545e-05
IC0000,15,ALL,11:00,301,0.4950166112956811,-1.2164455559797897e-05,-0.003661501123499167
IC0000,15,ALL,13:00,295,0.5423728813559322,2.4657036300960787e-05,0.007273825708783432
IC0000,15,ALL,13:30,298,0.4563758389261745,-4.815338037348073e-05,-0.014349707351297258
IC0000,15,ALL,14:00,289,0.4740484429065744,-9.239149569773509e-06,-0.002670114225664544
IC0000,15,ALL,14:30,217,0.4470046082949309,-2.7118334632919238e-05,-0.005884678615343475
IC0000,15,2023-01,09:30,140,0.4785714285714286,6.262414711652929e-05,0.0087673805963141
IC0000,15,2023-01,10:00,111,0.4954954954954955,4.215441801251345e-05,0.004679140399388992
IC0000,15,2023-01,10:30,93,0.44086021505376344,-9.66485535688332e-06,-0.0008988315481901488
IC0000,15,2023-01,11:00,92,0.4673913043478261,-3.322140643769021e-05,-0.0030563693922674995
IC0000,15,2023-01,13:00,95,0.47368421052631576,-5.041477383922583e-05,-0.0047894035147264535
IC0000,15,2023-01,13:30,77,0.44155844155844154,-5.584088723885562e-05,-0.004299748317391883
IC0000,15,2023-01,14:00,68,0.4264705882352941,-3.843257704424573e-05,-0.0026134152390087095
