code,year,n,k_ticks,k_pts,s_sum,s_ss,s_n,hits
IH0000,2019,3,8,1.6,-2393.6000000001723,13157.235000000155,6802,4359
IH0000,2019,3,13,2.6,-392.30000000000973,2687.2250000000354,534,356
IH0000,2019,3,20,4.0,-152.60000000000446,765.5600000000177,75,59
IH0000,2019,3,30,6.0,-35.20000000000118,188.84000000000518,11,10
IH0000,2019,5,0,0.0,5737.099999974804,1498079.065000013,4916572,2021533
IH0000,2019,5,2,0.4,-16633.95000003596,660038.1725000043,1335922,663763
IH0000,2019,5,4,0.8,-16416.550000007526,241945.75750000222,330625,175524
IH0000,2019,5,6,1.2,-9328.150000002088,84339.85750000067,80382,45688
IH0000,2019,5,8,1.6,-4494.200000000608,33440.2350000003,22809,13635
IH0000,2019,5,13,2.6,-438.4500000000103,5426.85250000007,1511,921
IH0000,2019,5,20,4.0,-140.00000000000227,1100.6800000000053,148,98
IH0000,2019,5,30,6.0,-51.0,271.4200000000014,15,13
IH0000,2019,10,0,0.0,40442.999999977816,1549106.6900000148,4914132,2081999
IH0000,2019,10,2,0.4,16370.849999959451,894735.0675000062,1983813,945532
IH0000,2019,10,4,0.8,-25.050000012503006,449307.1375000028,709696,350960
IH0000,2019,10,6,1.2,-2966.4000000046976,213257.61500000177,241329,122741
IH0000,2019,10,8,1.6,-1741.6000000019003,105978.31500000063,91470,47195
IH0000,2019,10,13,2.6,-220.20000000020354,21318.880000000103,9371,4967
IH0000,2019,10,20,4.0,136.89999999998554,3821.130000000043,699,354
IH0000,2019,10,30,6.0,4.299999999996544,802.9700000000099,69,37
IH0000,2019,20,0,0.0,40729.99999998275,1576545.8050000146,4909252,2125438
IH0000,2019,20,2,0.4,26289.19999996119,1104173.0450000083,2667889,1245812
IH0000,2019,20,4,0.8,12347.099999982769,701936.7100000062,1289405,614341
IH0000,2019,20,6,1.2,8519.199999991368,422686.76000000275,579526,278366
IH0000,2019,20,8,1.6,7583.499999995529,261420.95000000173,283269,134722
IH0000,2019,20,13,2.6,3652.299999999232,78112.17000000054,53295,24678
IH0000,2019,20,20,4.0,1203.4999999999886,16845.85000000009,6138,2697
IH0000,2019,20,30,6.0,338.7999999999988,3428.5800000000354,646,268
IH0000,2019,30,0,0.0,30921.99999998517,1585682.7850000155,4904372,2144048
