code,year,t1,t2,r,x,n_peak,g_sum,g_ss,rhits
IH0000,2019,10,60,2.0,20,214334,4799.449999999222,163202.34250000032,100308
IH0000,2019,10,60,3.0,20,15913,345.0999999999676,13448.770000000048,7679
IH0000,2019,10,60,5.0,20,3,-4.000000000000455,15.459999999999162,2
IH0000,2019,20,120,1.5,20,566122,11147.4499999986,462606.0625000028,263748
IH0000,2019,20,120,2.0,20,132992,2236.5499999996077,128760.03250000051,63086
IH0000,2019,20,120,3.0,20,5525,170.49999999998317,7226.670000000038,2598
IH0000,2020,10,60,1.5,20,729139,20646.374999996908,824916.2381250036,337348
IH0000,2020,10,60,2.0,20,223605,5004.824999999127,252213.53562500083,105246
IH0000,2020,10,60,3.0,20,17451,43.4999999999236,20563.93000000004,8491
IH0000,2020,10,60,5.0,20,10,-14.200000000000273,24.400000000001455,10
IH0000,2020,20,120,1.5,20,569985,12127.574999998324,669466.7881250031,267863
IH0000,2020,20,120,2.0,20,132204,3163.224999999657,165378.45562500088,62988
IH0000,2020,20,120,3.0,20,5728,-216.900000000021,9554.330000000047,2969
IH0000,2021,10,60,1.5,20,829851,21600.949999996283,1092135.4025000038,384999
IH0000,2021,10,60,2.0,20,282557,7596.399999998714,383686.80000000144,133008
IH0000,2021,10,60,3.0,20,28659,940.8499999998685,44270.53750000025,13837
IH0000,2021,10,60,5.0,20,11,-3.100000000000364,4.3299999999990355,7
IH0000,2021,20,120,1.5,20,667076,13996.599999997816,897187.7300000037,314049
IH0000,2021,20,120,2.0,20,179573,3080.449999999509,258888.3625000002,85443
IH0000,2021,20,120,3.0,20,11695,-100.00000000007276,18837.9600000001,5770
IH0000,2022,10,60,1.5,20,825213,24459.299999996958,695029.9500000038,371878
IH0000,2022,10,60,2.0,20,293637,8103.199999999047,249868.24500000148,134241
IH0000,2022,10,60,3.0,20,34514,1138.9999999999886,30737.460000000094,15928
IH0000,2022,10,60,5.0,20,165,2.699999999998454,76.27000000000042,74
IH0000,2022,20,120,1.5,20,672456,11208.549999997884,575911.7275000027,311139
IH0000,2022,20,120,2.0,20,189632,2083.849999999596,170095.34250000076,88935
IH0000,2022,20,120,3.0,20,13706,360.4999999999627,14122.389999999952,6457
IH0000,2022,20,120,5.0,20,2,-1.2000000000007276,0.7400000000008367,2
IH0000,2023,10,60,1.5,20,724154,11598.899999997244,285589.33500000153,310793
IH0000,2023,10,60,2.0,20,269230,5460.34999999907,106691.53250000096,116918
IH0000,2023,10,60,3.0,20,35712,478.14999999992915,14659.392500000093,15936
IH0000,2023,10,60,5.0,20,155,-50.00000000000773,70.16000000000025,101
IH0000,2023,20,120,1.5,20,589066,5136.899999998432,232949.25500000129,261216
IH0000,2023,20,120,2.0,20,175118,663.549999999615,72386.63250000037,79261
IH0000,2023,20,120,3.0,20,14632,-63.999999999992724,7242.100000000113,6574
IH0000,2023,20,120,5.0,20,12,-11.100000000002183,11.850000000004185,12
IH0000,2024,10,60,1.5,20,785242,20817.72499999598,600328.978125001,336025
IH0000,2024,10,60,2.0,20,278674,5467.099999998887,172796.45000000062,121640
IH0000,2024,10,60,3.0,20,34018,-936.0000000001091,15099.540000000185,15742
IH0000,2024,10,60,5.0,20,100,-2.2000000000011823,58.72000000000661,59
IH0000,2024,20,120,1.5,20,633711,8899.49999999794,480169.31000000087,278763
IH0000,2024,20,120,2.0,20,172345,46.04999999949223,107509.78250000018,77261
