code,rank,q,oir,n_total,cum1,cum5,cum10,cum20
IC0000,1634111,0.04476120110633189,-0.6666667,36507309,-404265.0,-496567.0,-488582.0,-365590.0
IC0000,1643240,0.04501126062181138,-0.6666667,36507309,-406139.0,-499147.0,-490432.0,-367445.0
IC0000,1652369,0.04526132013729087,-0.6666667,36507309,-408244.0,-502822.0,-493804.0,-370592.0
IC0000,1661498,0.045511379652770356,-0.6666667,36507309,-409960.0,-505577.0,-496523.0,-373631.0
IC0000,1670627,0.045761439168249846,-0.6666667,36507309,-411635.0,-507679.0,-498402.0,-375487.0
IC0000,1679757,0.046011526075504496,-0.6666667,36507309,-413909.0,-511779.0,-502232.0,-377577.0
IC0000,1688886,0.046261585590983985,-0.6666667,36507309,-416898.0,-515060.0,-503631.0,-379444.0
IC0000,1698015,0.046511645106463474,-0.6666667,36507309,-420123.0,-518309.0,-507304.0,-383560.0
IC0000,1707144,0.046761704621942964,-0.6666667,36507309,-422773.0,-522433.0,-511861.0,-388055.0
IC0000,1716273,0.04701176413742245,-0.6666667,36507309,-425484.0,-525678.0,-516225.0,-392797.0
IC0000,1725402,0.04726182365290194,-0.6666667,36507309,-427839.0,-528834.0,-520244.0,-397834.0
IC0000,1734531,0.04751188316838143,-0.6666667,36507309,-429804.0,-531469.0,-523134.0,-401510.0
IC0000,1743660,0.04776194268386092,-0.6666667,36507309,-431829.0,-534678.0,-527266.0,-405615.0
IC0000,1752789,0.04801200219934041,-0.6666667,36507309,-434276.0,-539329.0,-533866.0,-410798.0
IC0000,1761919,0.04826208910659507,-0.6666667,36507309,-437649.0,-543865.0,-539398.0,-415916.0
IC0000,1771048,0.048512148622074557,-0.6666667,36507309,-440739.0,-548124.0,-544268.0,-420188.0
IC0000,1780177,0.048762208137554046,-0.6666667,36507309,-442380.0,-551708.0,-547724.0,-423386.0
IC0000,1789306,0.049012267653033535,-0.6666667,36507309,-444214.0,-554841.0,-551601.0,-426224.0
IC0000,1798435,0.049262327168513025,-0.6666667,36507309,-446116.0,-558049.0,-554841.0,-428385.0
IC0000,1807564,0.049512386683992514,-0.6666667,36507309,-448050.0,-561104.0,-558457.0,-431457.0
IC0000,1816693,0.049762446199472,-0.6666667,36507309,-449971.0,-564645.0,-563053.0,-436169.0
IC0000,1825822,0.05001250571495149,-0.6666667,36507309,-451578.0,-568961.0,-568830.0,-441260.0
IC0000,1834951,0.05026256523043098,-0.6666667,36507309,-452759.0,-571868.0,-572290.0,-443662.0
IC0000,1844081,0.05051265213768563,-0.6666667,36507309,-454747.0,-576203.0,-576510.0,-446473.0
IC0000,1853210,0.05076271165316512,-0.6666667,36507309,-456776.0,-579493.0,-579560.0,-449892.0
IC0000,1862339,0.05101277116864461,-0.6666667,36507309,-457440.0,-580848.0,-578988.0,-447839.0
IC0000,1871468,0.0512628306841241,-0.6666667,36507309,-459168.0,-582997.0,-581316.0,-448813.0
IC0000,1880597,0.05151289019960359,-0.6666667,36507309,-461125.0,-586335.0,-584773.0,-450334.0
IC0000,1889726,0.05176294971508308,-0.6666667,36507309,-462494.0,-589478.0,-587542.0,-451288.0
IC0000,1898855,0.05201300923056257,-0.6666667,36507309,-464134.0,-591982.0,-590961.0,-453872.0
IC0000,1907984,0.05226306874604206,-0.6666667,36507309,-466113.0,-594757.0,-594936.0,-458828.0
IC0000,1917113,0.05251312826152155,-0.6666667,36507309,-468134.0,-598245.0,-598880.0,-464393.0
IC0000,1926243,0.052763215168776204,-0.6666667,36507309,-469166.0,-600804.0,-601937.0,-467839.0
IC0000,1935372,0.05301327468425569,-0.6666667,36507309,-470573.0,-603790.0,-605227.0,-471562.0
IC0000,1944501,0.05326333419973518,-0.6666667,36507309,-472136.0,-606210.0,-607867.0,-473812.0
IC0000,1953630,0.05351339371521467,-0.6666667,36507309,-473139.0,-607986.0,-610081.0,-475908.0
IC0000,1962759,0.05376345323069416,-0.6666667,36507309,-474089.0,-609970.0,-612072.0,-477654.0
IC0000,1971888,0.05401351274617365,-0.6666667,36507309,-475232.0,-612169.0,-614354.0,-479603.0
IC0000,1981017,0.05426357226165314,-0.6666667,36507309,-475933.0,-613858.0,-616936.0,-483079.0
IC0000,1990146,0.05451363177713263,-0.6666667,36507309,-477064.0,-617052.0,-620275.0,-486312.0
IC0000,1999275,0.05476369129261212,-0.6666667,36507309,-478034.0,-620021.0,-623909.0,-490486.0
IC0000,2008405,0.055013778199866775,-0.6666667,36507309,-479801.0,-624063.0,-629178.0,-496135.0
IC0000,2017534,0.055263837715346265,-0.6666667,36507309,-481349.0,-625024.0,-630251.0,-498766.0
IC0000,2026663,0.055513897230825754,-0.6666667,36507309,-483112.0,-628568.0,-635247.0,-504251.0
IC0000,2035792,0.05576395674630524,-0.6666667,36507309,-484806.0,-631907.0,-639057.0,-507281.0
IC0000,2044921,0.05601401626178473,-0.6666667,36507309,-485726.0,-634117.0,-642335.0,-509740.0
IC0000,2054050,0.05626407577726422,-0.6666667,36507309,-487010.0,-637495.0,-646057.0,-513127.0
IC0000,2063179,0.05651413529274371,-0.6666667,36507309,-488011.0,-639949.0,-649473.0,-517691.0
IC0000,2072308,0.0567641948082232,-0.6666667,36507309,-489280.0,-642743.0,-651951.0,-519989.0
IC0000,2081437,0.05701425432370268,-0.6666667,36507309,-491926.0,-646015.0,-656948.0,-525976.0
IC0000,2090567,0.05726434123095734,-0.6666667,36507309,-494314.0,-650883.0,-663351.0,-532339.0
IC0000,2099696,0.05751440074643683,-0.6666667,36507309,-496003.0,-654770.0,-668349.0,-536557.0
IC0000,2108825,0.05776446026191632,-0.6666667,36507309,-498325.0,-660086.0,-675314.0,-543457.0
IC0000,2117954,0.05801451977739581,-0.6666667,36507309,-499703.0,-662959.0,-677949.0,-546848.0
IC0000,2127083,0.0582645792928753,-0.6666667,36507309,-501671.0,-666441.0,-681213.0,-549743.0
