code,J,k,bucket,mean_dy,n,nrows
IF0000,120,20,neg5,-0.052907284,1830523,36461903
IF0000,120,20,pos5,0.15819448,1850387,36461903
IF0000,120,20,pos1,0.2501227,364713,36461903
IF0000,120,20,pos0.1,0.23410827,36906,36461903
IF0000,120,60,neg0.1,-0.04135573,36851,36337141
IF0000,120,60,neg1,0.18746418,368081,36337141
IF0000,120,60,neg5,0.1859115,1824637,36337141
IF0000,120,60,pos5,0.05026793,1842825,36337141
IF0000,120,60,pos1,0.11257784,371423,36337141
IF0000,120,60,pos0.1,0.06785501,36858,36337141
IF0000,120,120,neg0.1,1.5979104,36467,36138925
IF0000,120,120,neg1,0.7138967,364994,36138925
IF0000,120,120,neg5,0.49160707,1811821,36138925
IF0000,120,120,pos5,0.025333311,1831620,36138925
IF0000,120,120,pos1,-0.048861682,368878,36138925
IF0000,120,120,pos0.1,0.30052987,36612,36138925
IF0000,120,240,neg0.1,1.4085381,35769,35712637
IF0000,120,240,neg1,1.0194651,364704,35712637
IF0000,120,240,neg5,0.5652516,1827795,35712637
IF0000,120,240,pos5,0.0878267,1804827,35712637
IF0000,120,240,pos1,0.011234158,362644,35712637
IF0000,120,240,pos0.1,-0.44472668,36220,35712637
IF0000,120,600,neg0.1,2.5908566,34560,34266406
IF0000,120,600,neg1,0.5853043,344156,34266406
IF0000,120,600,neg5,0.21672483,1750081,34266406
IF0000,120,600,pos5,0.40626818,1754100,34266406
IF0000,120,600,pos1,0.3434177,347964,34266406
IF0000,120,600,pos0.1,0.7044217,34715,34266406
IH0000,1,1,neg0.1,-0.71316713,32695,32069158
IH0000,1,1,neg1,-0.48017746,375759,32069158
IH0000,1,1,neg5,-0.3155702,1892441,32069158
IH0000,1,1,pos5,0.32199588,1863002,32069158
IH0000,1,1,pos1,0.49473494,364383,32069158
IH0000,1,1,pos0.1,0.7029661,37558,32069158
IH0000,1,20,neg0.1,-1.5662436,32622,32011895
IH0000,1,20,neg1,-1.0742352,375280,32011895
IH0000,1,20,neg5,-0.81404924,1890070,32011895
IH0000,1,20,pos5,0.844476,1860960,32011895
IH0000,1,20,pos1,1.1435376,363995,32011895
IH0000,1,20,pos0.1,1.5920424,37499,32011895
IH0000,1,60,neg0.1,-1.460517,32457,31889729
IH0000,1,60,neg1,-1.0026839,374079,31889729
IH0000,1,60,neg5,-0.78974557,1884322,31889729
IH0000,1,60,pos5,0.820801,1854765,31889729
