code,rank,q,voi,n_total,cum1,cum20,cum120
IC0000,1116380,0.031007778636713203,-5.0,36003224,-1.050217e+06,-2.297268e+06,-1.895972e+06
IC0000,1125383,0.03125783957570022,-5.0,36003224,-1.055227e+06,-2.309438e+06,-1.913695e+06
IC0000,1134386,0.03150790051468724,-5.0,36003224,-1.060187e+06,-2.320724e+06,-1.926248e+06
IC0000,1143389,0.03175796145367426,-5.0,36003224,-1.068387e+06,-2.344481e+06,-1.944649e+06
IC0000,1152392,0.03200802239266128,-5.0,36003224,-1.075396e+06,-2.361296e+06,-1.962682e+06
IC0000,1161395,0.0322580833316483,-5.0,36003224,-1.081838e+06,-2.377056e+06,-1.981415e+06
IC0000,1170398,0.032508144270635315,-5.0,36003224,-1.088008e+06,-2.390864e+06,-1.99178e+06
IC0000,1179401,0.03275820520962234,-5.0,36003224,-1.093673e+06,-2.403127e+06,-1.998307e+06
IC0000,1188404,0.033008266148609355,-5.0,36003224,-1.099106e+06,-2.415032e+06,-2.01224e+06
IC0000,1197407,0.03325832708759638,-5.0,36003224,-1.103245e+06,-2.423521e+06,-2.022936e+06
IC0000,1206410,0.033508388026583395,-5.0,36003224,-1.108212e+06,-2.435881e+06,-2.032222e+06
IC0000,1215413,0.03375844896557042,-5.0,36003224,-1.114671e+06,-2.454338e+06,-2.043028e+06
IC0000,1224416,0.034008509904557435,-5.0,36003224,-1.122129e+06,-2.471113e+06,-2.054986e+06
IC0000,1233419,0.03425857084354446,-5.0,36003224,-1.127987e+06,-2.4837e+06,-2.073033e+06
IC0000,1242422,0.034508631782531475,-5.0,36003224,-1.133759e+06,-2.496369e+06,-2.086786e+06
IC0000,1251425,0.0347586927215185,-5.0,36003224,-1.140158e+06,-2.513688e+06,-2.090371e+06
IC0000,1260428,0.035008753660505515,-5.0,36003224,-1.149317e+06,-2.532276e+06,-2.10072e+06
IC0000,1269431,0.03525881459949253,-5.0,36003224,-1.157873e+06,-2.551017e+06,-2.12692e+06
IC0000,1278435,0.0355089033137699,-4.0,36003224,-1.165217e+06,-2.566789e+06,-2.14331e+06
IC0000,1287438,0.03575896425275692,-4.0,36003224,-1.16981e+06,-2.581945e+06,-2.155913e+06
IC0000,1296441,0.03600902519174394,-4.0,36003224,-1.174605e+06,-2.599941e+06,-2.166177e+06
IC0000,1305444,0.03625908613073096,-4.0,36003224,-1.181398e+06,-2.619359e+06,-2.197837e+06
IC0000,1314447,0.03650914706971798,-4.0,36003224,-1.188582e+06,-2.636438e+06,-2.217457e+06
IC0000,1323450,0.036759208008705,-4.0,36003224,-1.192951e+06,-2.645816e+06,-2.225225e+06
IC0000,1332453,0.03700926894769202,-4.0,36003224,-1.197397e+06,-2.656925e+06,-2.23464e+06
IC0000,1341456,0.037259329886679037,-4.0,36003224,-1.201107e+06,-2.667705e+06,-2.243066e+06
IC0000,1350459,0.03750939082566606,-4.0,36003224,-1.20461e+06,-2.677553e+06,-2.24924e+06
IC0000,1359462,0.037759451764653076,-4.0,36003224,-1.208892e+06,-2.691808e+06,-2.248193e+06
IC0000,1368465,0.03800951270364009,-4.0,36003224,-1.218128e+06,-2.718075e+06,-2.273067e+06
IC0000,1377468,0.038259573642627116,-4.0,36003224,-1.22735e+06,-2.738171e+06,-2.282489e+06
IC0000,1386471,0.03850963458161413,-4.0,36003224,-1.234635e+06,-2.752477e+06,-2.302558e+06
IC0000,1395474,0.038759695520601156,-4.0,36003224,-1.241506e+06,-2.768321e+06,-2.32078e+06
IC0000,1404477,0.03900975645958817,-4.0,36003224,-1.248287e+06,-2.782532e+06,-2.338757e+06
