code,rank,q,oir,n_total,cum1,cum5,cum10,cum20
IC0000,225338,0.03850962629574234,-0.6666667,5851472,-49085.0,-62981.0,-72321.0,-57762.0
IC0000,226802,0.038759819751337785,-0.6666667,5851472,-49419.0,-63817.0,-73611.0,-58853.0
IC0000,228265,0.039009842309764106,-0.6666667,5851472,-49784.0,-64708.0,-74537.0,-59164.0
IC0000,229728,0.039259864868190435,-0.6666667,5851472,-50078.0,-65276.0,-74945.0,-59706.0
IC0000,231191,0.039509887426616756,-0.6666667,5851472,-50352.0,-65825.0,-75609.0,-60280.0
IC0000,232655,0.0397600808822122,-0.6666667,5851472,-50696.0,-66416.0,-76348.0,-61233.0
IC0000,234118,0.040010103440638524,-0.6666667,5851472,-50914.0,-66885.0,-76873.0,-61643.0
IC0000,235581,0.04026012599906485,-0.6666667,5851472,-51065.0,-67033.0,-77249.0,-61820.0
IC0000,237044,0.040510148557491174,-0.6666667,5851472,-51263.0,-67441.0,-77725.0,-62607.0
IC0000,238508,0.04076034201308662,-0.6666667,5851472,-51451.0,-67877.0,-78365.0,-62972.0
IC0000,239971,0.04101036457151295,-0.6666667,5851472,-51511.0,-68130.0,-78941.0,-63610.0
IC0000,241434,0.04126038712993927,-0.6666667,5851472,-51554.0,-68398.0,-79405.0,-63711.0
IC0000,242897,0.04151040968836559,-0.6666667,5851472,-51795.0,-68762.0,-80001.0,-64114.0
IC0000,244361,0.04176060314396104,-0.6666667,5851472,-51930.0,-69114.0,-80393.0,-64047.0
IC0000,245824,0.042010625702387366,-0.6666667,5851472,-52109.0,-69536.0,-80864.0,-64681.0
IC0000,247287,0.04226064826081369,-0.6666667,5851472,-52234.0,-69926.0,-81338.0,-64736.0
IC0000,248750,0.042510670819240017,-0.6666667,5851472,-52445.0,-70436.0,-81923.0,-65430.0
IC0000,250213,0.04276069337766634,-0.6666667,5851472,-52738.0,-71035.0,-82471.0,-65600.0
IC0000,251677,0.043010886833261784,-0.6666667,5851472,-52949.0,-71758.0,-83362.0,-66480.0
IC0000,253140,0.043260909391688106,-0.6666667,5851472,-53131.0,-72166.0,-83858.0,-66886.0
IC0000,254603,0.043510931950114434,-0.6666667,5851472,-53401.0,-73011.0,-84595.0,-68390.0
IC0000,256066,0.043760954508540756,-0.6666667,5851472,-53558.0,-73142.0,-84946.0,-68832.0
IC0000,257530,0.0440111479641362,-0.6666667,5851472,-53814.0,-73759.0,-85549.0,-69446.0
IC0000,258993,0.04426117052256253,-0.6666667,5851472,-53994.0,-74190.0,-86192.0,-70282.0
IC0000,260456,0.04451119308098885,-0.6666667,5851472,-54112.0,-74629.0,-86944.0,-71015.0
IC0000,261919,0.044761215639415174,-0.6666667,5851472,-54250.0,-74944.0,-87416.0,-71975.0
IC0000,263383,0.04501140909501062,-0.6666667,5851472,-54273.0,-75157.0,-87763.0,-72251.0
IC0000,264846,0.04526143165343695,-0.6666667,5851472,-54418.0,-75606.0,-88056.0,-72175.0
IC0000,266309,0.04551145421186327,-0.6666667,5851472,-54662.0,-75885.0,-88237.0,-72549.0
IC0000,267772,0.0457614767702896,-0.6666667,5851472,-54918.0,-76316.0,-88558.0,-72964.0
