code,factor,basis,J,k,bucket,mean_dy,n,nrows
IC0000,oir,last,20,120,neg1,0.7107249,359509,35950568
IC0000,oir,last,20,120,neg5,0.45291778,1797547,35950568
IC0000,oir,last,20,120,pos5,-0.24889098,1797530,35950568
IC0000,oir,last,20,120,pos1,-0.39462486,359506,35950568
IC0000,oir,last,20,120,pos0.1,-0.24949239,35953,35950568
IC0000,oir,last,20,240,neg0.1,0.7873043,35130,35129134
IC0000,oir,last,20,240,neg1,0.72997963,351292,35129134
IC0000,oir,last,20,240,neg5,0.4511022,1756500,35129134
IC0000,oir,last,20,240,pos5,-0.25522742,1756457,35129134
IC0000,oir,last,20,240,pos1,-0.41247788,351294,35129134
IC0000,oir,last,20,240,pos0.1,-0.93612295,35130,35129134
IC0000,oir,last,20,600,neg0.1,2.2396612,32233,32232597
IC0000,oir,last,20,600,neg1,1.2046003,322326,32232597
IC0000,oir,last,20,600,neg5,0.7233654,1611693,32232597
IC0000,oir,last,20,600,pos5,-0.34985018,1611667,32232597
IC0000,oir,last,20,600,pos1,-0.67596364,322328,32232597
IC0000,oir,last,20,600,pos0.1,-1.9031427,32233,32232597
IC0000,oir,last,60,1,neg0.1,-0.007199978,36389,36388672
IC0000,oir,last,60,1,neg1,-0.0032042915,363887,36388672
IC0000,oir,last,60,1,neg5,-0.008446583,1819434,36388672
IC0000,oir,last,60,1,pos5,0.012232872,1819442,36388672
IC0000,oir,last,60,1,pos1,0.008010707,363888,36388672
IC0000,oir,last,60,1,pos0.1,-0.007969441,36389,36388672
IC0000,oir,last,60,5,neg0.1,0.025758034,36377,36376591
IC0000,oir,last,60,5,neg1,0.051714566,363766,36376591
IC0000,oir,last,60,5,neg5,0.016416589,1818831,36376591
