code,rank,q,voi,n_total,cum1,cum5,cum10,cum20
IC0000,159480,0.027256827922559023,-5.0,5851011,-133747.0,-277934.0,-326780.0,-334184.0
IC0000,160944,0.027507041090847378,-5.0,5851011,-134568.0,-279325.0,-328142.0,-335193.0
IC0000,162407,0.027757083348501653,-5.0,5851011,-135447.0,-280918.0,-329852.0,-336684.0
IC0000,163870,0.02800712560615593,-5.0,5851011,-136404.0,-283016.0,-332136.0,-339273.0
IC0000,165333,0.028257167863810204,-5.0,5851011,-137314.0,-284885.0,-334756.0,-341919.0
IC0000,166796,0.02850721012146448,-5.0,5851011,-138627.0,-287853.0,-338580.0,-345764.0
IC0000,168259,0.028757252379118754,-5.0,5851011,-140843.0,-294205.0,-345569.0,-354398.0
IC0000,169722,0.02900729463677303,-5.0,5851011,-142454.0,-298440.0,-350693.0,-360523.0
IC0000,171185,0.029257336894427305,-5.0,5851011,-143848.0,-301136.0,-353423.0,-363157.0
IC0000,172648,0.02950737915208158,-5.0,5851011,-144977.0,-303790.0,-356182.0,-365872.0
IC0000,174112,0.02975759232036993,-5.0,5851011,-146189.0,-306504.0,-358772.0,-367784.0
IC0000,175575,0.030007634578024207,-5.0,5851011,-147534.0,-309518.0,-362129.0,-372127.0
IC0000,177038,0.030257676835678482,-5.0,5851011,-148648.0,-312057.0,-365053.0,-374340.0
IC0000,178501,0.03050771909333276,-5.0,5851011,-149555.0,-314593.0,-367926.0,-377002.0
IC0000,179964,0.030757761350987036,-5.0,5851011,-150676.0,-316746.0,-370417.0,-379166.0
IC0000,181427,0.03100780360864131,-5.0,5851011,-151661.0,-319304.0,-373203.0,-381901.0
IC0000,182890,0.03125784586629558,-5.0,5851011,-153047.0,-321786.0,-375997.0,-384538.0
IC0000,184353,0.03150788812394986,-5.0,5851011,-154063.0,-323748.0,-378157.0,-387024.0
IC0000,185817,0.03175810129223822,-5.0,5851011,-154938.0,-325477.0,-380466.0,-389156.0
IC0000,187280,0.03200814354989249,-5.0,5851011,-155836.0,-327304.0,-382711.0,-391704.0
IC0000,188743,0.03225818580754677,-4.0,5851011,-156625.0,-328978.0,-384412.0,-393501.0
IC0000,190206,0.03250822806520104,-4.0,5851011,-157487.0,-330641.0,-386714.0,-395892.0
IC0000,191669,0.03275827032285532,-4.0,5851011,-158281.0,-332469.0,-388892.0,-397914.0
IC0000,193132,0.03300831258050959,-4.0,5851011,-158909.0,-334108.0,-391191.0,-400699.0
IC0000,194595,0.03325835483816387,-4.0,5851011,-159700.0,-336935.0,-394238.0,-403974.0
IC0000,196058,0.03350839709581814,-4.0,5851011,-160770.0,-339545.0,-397053.0,-406706.0
IC0000,197521,0.03375843935347242,-4.0,5851011,-161676.0,-342083.0,-400015.0,-410437.0
IC0000,198985,0.03400865252176077,-4.0,5851011,-163203.0,-346652.0,-405846.0,-417013.0
IC0000,200448,0.034258694779415046,-4.0,5851011,-164334.0,-350127.0,-409521.0,-420358.0
IC0000,201911,0.03450873703706932,-4.0,5851011,-165520.0,-353600.0,-413518.0,-425223.0
IC0000,203374,0.034758779294723596,-4.0,5851011,-166800.0,-355712.0,-415520.0,-427584.0
IC0000,204837,0.03500882155237787,-4.0,5851011,-167651.0,-357264.0,-417188.0,-428939.0
IC0000,206300,0.03525886381003215,-4.0,5851011,-168495.0,-358957.0,-419255.0,-431139.0
IC0000,207763,0.03550890606768642,-4.0,5851011,-169587.0,-361549.0,-421600.0,-433715.0
IC0000,209226,0.0357589483253407,-4.0,5851011,-170704.0,-363590.0,-423687.0,-435567.0
IC0000,210690,0.03600916149362905,-4.0,5851011,-171544.0,-365111.0,-425422.0,-437131.0
IC0000,212153,0.036259203751283324,-4.0,5851011,-172317.0,-366865.0,-427327.0,-439315.0
IC0000,213616,0.0365092460089376,-4.0,5851011,-173128.0,-368490.0,-429054.0,-440668.0
IC0000,215079,0.036759288266591875,-4.0,5851011,-173895.0,-370165.0,-431485.0,-442944.0
IC0000,216542,0.03700933052424615,-4.0,5851011,-174755.0,-372177.0,-434138.0,-445721.0
IC0000,218005,0.037259372781900425,-4.0,5851011,-175498.0,-373866.0,-436309.0,-447978.0
IC0000,219468,0.037509415039554704,-4.0,5851011,-176315.0,-375320.0,-438176.0,-449730.0
IC0000,220931,0.037759457297208976,-4.0,5851011,-177119.0,-377032.0,-440084.0,-451236.0
IC0000,222394,0.038009499554863255,-4.0,5851011,-177813.0,-379155.0,-442624.0,-453462.0
IC0000,223858,0.0382597127231516,-4.0,5851011,-178576.0,-381264.0,-445190.0,-455858.0
IC0000,225321,0.03850975498080588,-4.0,5851011,-179132.0,-382664.0,-446681.0,-456813.0
IC0000,226784,0.03875979723846016,-4.0,5851011,-179558.0,-384054.0,-447844.0,-458118.0
IC0000,228247,0.03900983949611443,-4.0,5851011,-180211.0,-385281.0,-448943.0,-459135.0
IC0000,229710,0.03925988175376871,-4.0,5851011,-180954.0,-386785.0,-450697.0,-460592.0
IC0000,231173,0.03950992401142298,-4.0,5851011,-181482.0,-387997.0,-452031.0,-461766.0
IC0000,232636,0.03975996626907726,-4.0,5851011,-182074.0,-388944.0,-453132.0,-462821.0
IC0000,234099,0.04001000852673153,-4.0,5851011,-182749.0,-390482.0,-455311.0,-465092.0
IC0000,235563,0.04026022169501989,-4.0,5851011,-183359.0,-391826.0,-456781.0,-466323.0
IC0000,237026,0.04051026395267416,-4.0,5851011,-183985.0,-393483.0,-458771.0,-468333.0
IC0000,238489,0.04076030621032844,-4.0,5851011,-184724.0,-395122.0,-460589.0,-469968.0
IC0000,239952,0.04101034846798271,-4.0,5851011,-185521.0,-397452.0,-463446.0,-472983.0
IC0000,241415,0.04126039072563699,-4.0,5851011,-186355.0,-399014.0,-465075.0,-474705.0
IC0000,242878,0.04151043298329126,-4.0,5851011,-186921.0,-400014.0,-466287.0,-476120.0
IC0000,244341,0.04176047524094554,-4.0,5851011,-187719.0,-401284.0,-467679.0,-477721.0
IC0000,245804,0.04201051749859981,-4.0,5851011,-188437.0,-402593.0,-469359.0,-479071.0
IC0000,247267,0.04226055975625409,-4.0,5851011,-188930.0,-404277.0,-471449.0,-481198.0
IC0000,248731,0.042510772924542445,-4.0,5851011,-189519.0,-405732.0,-473251.0,-482904.0
IC0000,250194,0.04276081518219672,-4.0,5851011,-190098.0,-407321.0,-475529.0,-485204.0
IC0000,251657,0.043010857439850995,-4.0,5851011,-190685.0,-408574.0,-476924.0,-486491.0
IC0000,253120,0.04326089969750527,-4.0,5851011,-191157.0,-409428.0,-477906.0,-487572.0
IC0000,254583,0.043510941955159546,-4.0,5851011,-191687.0,-410599.0,-479319.0,-489181.0
IC0000,256046,0.04376098421281382,-4.0,5851011,-192304.0,-411997.0,-480998.0,-491142.0
IC0000,257509,0.0440110264704681,-4.0,5851011,-192953.0,-413256.0,-482259.0,-492652.0
IC0000,258972,0.04426106872812237,-4.0,5851011,-193819.0,-415535.0,-484752.0,-495410.0
IC0000,260436,0.04451128189641072,-4.0,5851011,-194392.0,-416868.0,-486527.0,-497669.0
IC0000,261899,0.044761324154064995,-4.0,5851011,-194946.0,-418046.0,-488037.0,-498857.0
IC0000,263362,0.045011366411719274,-4.0,5851011,-195651.0,-419480.0,-489664.0,-500668.0
IC0000,264825,0.04526140866937355,-4.0,5851011,-196423.0,-420751.0,-491026.0,-501997.0
IC0000,266288,0.045511450927027824,-4.0,5851011,-196883.0,-421632.0,-491914.0,-503251.0
IC0000,267751,0.0457614931846821,-4.0,5851011,-197377.0,-422519.0,-493003.0,-503999.0
IC0000,269214,0.046011535442336375,-4.0,5851011,-198153.0,-423931.0,-494740.0,-505858.0
IC0000,270677,0.046261577699990654,-4.0,5851011,-198783.0,-425500.0,-496414.0,-507436.0
IC0000,272141,0.046511790868279,-4.0,5851011,-199550.0,-427300.0,-498648.0,-509000.0
IC0000,273604,0.04676183312593328,-4.0,5851011,-200185.0,-428858.0,-500568.0,-511080.0
IC0000,275067,0.04701187538358755,-4.0,5851011,-200893.0,-430680.0,-502570.0,-513154.0
IC0000,276530,0.04726191764124183,-4.0,5851011,-201561.0,-432683.0,-505123.0,-515356.0
IC0000,277993,0.0475119598988961,-4.0,5851011,-203188.0,-437754.0,-511736.0,-521891.0
IC0000,279456,0.04776200215655038,-4.0,5851011,-205522.0,-443973.0,-518637.0,-530197.0
IC0000,280919,0.04801204441420465,-4.0,5851011,-206864.0,-447962.0,-522570.0,-533979.0
IC0000,282382,0.04826208667185893,-4.0,5851011,-207953.0,-451373.0,-526876.0,-538926.0
IC0000,283845,0.048512128929513204,-4.0,5851011,-209049.0,-454063.0,-529941.0,-541017.0
IC0000,285309,0.04876234209780156,-4.0,5851011,-209963.0,-456067.0,-531967.0,-542927.0
