code,year,month,S,sum,sumsq,n
IC0000,2022,2,50,-583.99999999999,57813.75999999939,3708
IF0000,2022,2,0,270.10000000000855,22571.369999999795,3697
IF0000,2022,2,10,133.10000000002765,23259.149999999947,3697
IF0000,2022,2,20,-124.80000000005839,23898.26000000015,3697
IF0000,2022,2,30,-143.90000000002055,23482.409999999883,3697
IF0000,2022,2,40,-305.4000000000033,22724.639999999967,3697
IF0000,2022,2,50,-341.60000000000036,22157.399999999772,3697
IH0000,2022,2,0,93.50000000001,10358.950000000043,3641
IH0000,2022,2,10,-26.999999999983174,10295.64000000004,3641
IH0000,2022,2,20,-62.90000000000737,10828.250000000106,3641
IH0000,2022,2,30,-97.59999999999172,10570.220000000108,3641
IH0000,2022,2,40,-127.8999999999669,10385.229999999961,3641
IH0000,2022,2,50,-125.30000000000064,10135.930000000153,3641
IC0000,2022,3,0,-1125.7999999999565,244833.41999999838,5341
IC0000,2022,3,10,-587.3999999999742,229606.33999999848,5341
IC0000,2022,3,20,-126.70000000006894,217509.8499999991,5341
IC0000,2022,3,30,562.0999999999503,233689.54999999804,5341
IC0000,2022,3,40,824.0999999999931,233903.82999999952,5341
IC0000,2022,3,50,894.0999999999794,232329.96999999747,5341
IF0000,2022,3,0,-895.9000000000005,92995.1699999978,5324
IF0000,2022,3,10,-728.7000000000107,84560.5699999991,5324
IF0000,2022,3,20,-293.80000000001974,79031.87999999875,5324
IF0000,2022,3,30,-153.59999999998126,84441.83999999886,5324
IF0000,2022,3,40,-194.8999999999578,88675.12999999826,5324
IF0000,2022,3,50,-131.00000000001182,91145.65999999907,5324
IH0000,2022,3,0,-502.00000000001864,44289.65999999889,5292
IH0000,2022,3,10,-452.4999999999941,38261.629999999124,5292
IH0000,2022,3,20,-234.1000000000181,35644.329999999245,5292
IH0000,2022,3,30,-148.89999999998463,37395.82999999936,5292
IH0000,2022,3,40,-191.09999999995625,39493.70999999935,5292
IH0000,2022,3,50,-296.79999999999154,41598.99999999893,5292
IC0000,2022,4,0,-674.1000000000286,194033.18999999863,4426
IC0000,2022,4,10,148.79999999998472,176261.05999999834,4426
IC0000,2022,4,20,966.4999999999845,166522.36999999895,4426
IC0000,2022,4,30,1385.899999999997,173422.86999999784,4426
IC0000,2022,4,40,1056.3000000000702,179703.17000000007,4426
IC0000,2022,4,50,1082.9999999999563,190195.11999999988,4426
IF0000,2022,4,0,-836.3999999999696,56938.03999999942,4400
IF0000,2022,4,10,-307.8000000000534,50232.12000000007,4400
IF0000,2022,4,20,83.89999999996644,49160.669999999765,4400
IF0000,2022,4,30,275.99999999997317,51310.53999999983,4400
IF0000,2022,4,40,150.50000000001364,52563.26999999933,4400
IF0000,2022,4,50,171.69999999996617,55629.50999999948,4400
IH0000,2022,4,0,-438.5000000000214,24900.209999999675,4371
IH0000,2022,4,10,-163.99999999999955,20955.259999999897,4371
IH0000,2022,4,20,31.799999999992906,20751.160000000003,4371
IH0000,2022,4,30,119.50000000000273,21694.449999999866,4371
IH0000,2022,4,40,59.79999999998927,22486.359999999753,4371
IH0000,2022,4,50,90.40000000002738,24022.959999999814,4371
IC0000,2022,5,0,-756.099999999904,120897.00999999806,4414
IC0000,2022,5,10,-665.1999999999607,111636.39999999826,4414
IC0000,2022,5,20,-123.10000000007949,101644.06999999855,4414
IC0000,2022,5,30,-185.30000000000655,104188.78999999851,4414
