code,year,month,sum_K20,n_K20,sum_K42,n_K42,sum_K60,n_K60,sum_K90,n_K90,sum_close,n_close
IF0000,2022,4,703.8999999999401,4438,1153.5999999999872,4437,1164.1999999999457,4417,675.0999999999894,3836,795.5999999999694,4438
IH0000,2022,4,469.1999999999939,4407,605.1999999999853,4357,465.20000000000846,4040,130.5000000000041,2433,418.50000000000364,4408
IC0000,2022,5,852.6999999999289,4451,1476.49999999992,4451,1364.7999999999092,4448,882.5999999999403,4169,775.1999999999107,4451
IF0000,2022,5,551.9999999999968,4435,817.7999999999979,4432,840.3999999999919,4414,638.8999999999864,3864,663.0999999999917,4435
IH0000,2022,5,272.2999999999947,4374,404.1000000000213,4324,267.0000000000209,3943,43.299999999986085,1995,364.20000000001664,4375
IC0000,2022,6,492.50000000005093,4920,746.0999999999731,4920,541.1000000000422,4915,-90.60000000003947,4528,-183.19999999996253,4920
IF0000,2022,6,461.0000000000132,4895,700.3000000000407,4895,685.8000000000352,4893,420.4000000000424,4723,274.9000000000524,4895
IH0000,2022,6,273.49999999998045,4859,426.7000000000053,4859,400.3000000000038,4800,161.5999999999981,3555,348.8000000000079,4859
IC0000,2022,7,-65.39999999995325,4916,357.10000000003765,4914,207.0000000000182,4872,-326.20000000000346,3478,92.29999999998927,4916
IF0000,2022,7,-167.39999999995507,4890,24.600000000085856,4880,-10.499999999970896,4744,-398.89999999993233,3363,-167.39999999999418,4890
IH0000,2022,7,-69.89999999995916,4843,10.200000000037107,4707,-108.29999999996744,4171,-344.9999999999982,2202,-108.0999999999608,4845
IM0000,2022,7,-240.80000000001382,1409,-152.700000000018,1397,-237.20000000004075,1275,-295.20000000002256,607,-237.10000000001764,1409
IC0000,2022,8,-50.800000000010186,5381,613.9000000000187,5376,603.1000000000313,5306,132.39999999999418,4154,459.99999999999545,5381
IF0000,2022,8,127.99999999998863,5307,405.2000000000485,5284,277.1000000000545,5078,15.900000000013733,3415,314.10000000000355,5307
IH0000,2022,8,129.49999999999227,5239,84.40000000001055,4985,-7.4999999999936335,4195,-138.49999999999,1867,188.89999999998963,5244
IM0000,2022,8,52.30000000000473,5382,471.7000000000189,5356,382.70000000005075,5068,-450.69999999995434,3185,32.60000000002128,5382
IC0000,2022,9,422.1000000000804,4907,588.9000000001015,4906,333.00000000002274,4840,38.800000000067485,3582,137.60000000009313,4907
