code,year,month,avg_spread,med_spread,n
IH0000,2022,11,0.5043361344537874,0.40000000000009095,17850
IM0000,2022,11,1.440272702481629,1.3999999999996362,18335
IC0000,2022,12,0.9356144578313428,1.0,16600
IF0000,2022,12,0.45316045380876385,0.40000000000009095,19744
IH0000,2022,12,0.40349295190713286,0.40000000000009095,19296
IM0000,2022,12,1.2183624895870835,1.199999999999818,16806
IC0000,2023,1,1.0577497244765335,1.0,9981
IF0000,2023,1,0.5429148434870565,0.5999999999994543,11884
IH0000,2023,1,0.4415766052129603,0.40000000000009095,11011
IM0000,2023,1,1.3539252242265518,1.3999999999996362,9923
IC0000,2023,2,0.9497970230040704,1.0,16258
IF0000,2023,2,0.555668128745297,0.5999999999994543,16187
IH0000,2023,2,0.46692935158302895,0.40000000000009095,14466
IM0000,2023,2,1.2058191181204039,1.199999999999818,15535
IC0000,2023,3,0.9613560533841982,1.0,16784
IF0000,2023,3,0.5466703570440322,0.599999999999909,18065
IH0000,2023,3,0.3928868412181177,0.40000000000009095,17798
IM0000,2023,3,1.2650029994001584,1.199999999999818,16670
IC0000,2023,4,1.0398026049672595,1.0,12361
IF0000,2023,4,0.5942434474996163,0.599999999999909,12438
IH0000,2023,4,0.4162738689145022,0.40000000000009095,11626
IM0000,2023,4,1.2534067559793214,1.199999999999818,12167
IC0000,2023,5,0.8803931388506678,0.8000000000001819,15974
IF0000,2023,5,0.5247998983610878,0.599999999999909,15742
IH0000,2023,5,0.42171502627979074,0.40000000000009095,13889
IM0000,2023,5,1.0777359958506378,1.0,15424
IC0000,2023,6,0.8884099552946072,0.8000000000001819,14987
IF0000,2023,6,0.5451526870249467,0.599999999999909,14998
IH0000,2023,6,0.4105336394628818,0.40000000000009095,14373
IM0000,2023,6,1.1184757981462614,1.199999999999818,14565
IC0000,2023,8,0.8713683403603197,0.8000000000001819,15654
IF0000,2023,8,0.47579036450463896,0.40000000000009095,16543
IH0000,2023,8,0.4183121449824167,0.40000000000009095,14788
IM0000,2023,8,1.0346889307837628,1.0,14852
IC0000,2023,9,0.8779172413793241,0.8000000000001819,14500
IF0000,2023,9,0.47210002005750257,0.40000000000009095,14957
IH0000,2023,9,0.40408665681929606,0.40000000000009095,12186
IM0000,2023,9,1.107390542907208,1.199999999999818,14275
IC0000,2023,10,0.8690148122631767,0.8000000000001819,11612
IF0000,2023,10,0.49149752277449943,0.40000000000009095,12514
IH0000,2023,10,0.4275730014361008,0.40000000000009095,10445
IM0000,2023,10,1.1078743508981181,1.199999999999818,11747
IC0000,2023,11,0.753928299008404,0.8000000000001819,20976
IF0000,2023,11,0.4107974055703983,0.40000000000009095,20968
IH0000,2023,11,0.33475616752723814,0.3999999999996362,17430
IM0000,2023,11,0.9252288329519994,1.0,20976
IC0000,2023,12,0.8322674102777748,0.8000000000001819,27613
IF0000,2023,12,0.4020099796191117,0.40000000000009095,28458
IH0000,2023,12,0.3342724878282259,0.3999999999996362,25058
IM0000,2023,12,1.118781565656589,1.0,25344
IC0000,2024,1,1.466614967041514,1.3999999999996362,18053
IF0000,2024,1,0.6198482515944721,0.599999999999909,18188
IH0000,2024,1,0.46637341153470935,0.40000000000009095,16368
IM0000,2024,1,1.5440215597844473,1.4000000000005457,18182
IC0000,2024,2,1.4516772974250425,1.199999999999818,16932
IF0000,2024,2,0.682361032951936,0.599999999999909,15993
IH0000,2024,2,0.5320858248329191,0.40000000000009095,14215
IM0000,2024,2,1.2723481209381922,1.0,17695
IC0000,2024,3,1.104469212094489,1.0,18124
IF0000,2024,3,0.5287430518199863,0.599999999999909,16731
IH0000,2024,3,0.40079255002972675,0.40000000000009095,15141
IM0000,2024,3,1.0223181701362503,1.0,19455
IC0000,2024,4,1.2464279287385631,1.199999999999818,16671
IF0000,2024,4,0.5596418073689323,0.599999999999909,14629
IH0000,2024,4,0.4380629293528943,0.40000000000009095,11791
IM0000,2024,4,1.1560646460249702,1.199999999999818,18377
IC0000,2024,5,0.8534140344240843,0.8000000000001819,15861
IF0000,2024,5,0.42584446190101244,0.40000000000009095,15276
IH0000,2024,5,0.36092553639040476,0.40000000000009095,11885
IM0000,2024,5,0.7835540838852525,0.8000000000001819,18120
IC0000,2024,6,0.894696005334313,0.8000000000001819,16497
IF0000,2024,6,0.441203330647333,0.40000000000009095,14892
IH0000,2024,6,0.35896020243846377,0.40000000000009095,13041
IM0000,2024,6,0.8315610282018069,0.8000000000001819,17623
IC0000,2024,7,1.0247352772416953,1.0,19171
IF0000,2024,7,0.484263959390868,0.40000000000009095,16548
IH0000,2024,7,0.393210227272725,0.40000000000009095,14080
IM0000,2024,7,0.8808226269471864,0.8000000000001819,21249
IC0000,2024,8,0.8884782489138372,0.8000000000001819,18183
IF0000,2024,8,0.430121476589216,0.40000000000009095,16958
IH0000,2024,8,0.36223633311436965,0.40000000000009095,13701
IM0000,2024,8,0.7209306872617464,0.6000000000003638,20458
IC0000,2024,9,1.0417335278385815,0.8000000000001819,16452
IF0000,2024,9,0.5211531261699756,0.40000000000009095,16026
IH0000,2024,9,0.5321356388951414,0.40000000000009095,13359
IM0000,2024,9,0.8698706512043123,0.7999999999992724,17936
IC0000,2024,10,1.697222998267906,1.4000000000005457,17897
IF0000,2024,10,0.8212373553904017,0.6000000000003638,17893
IH0000,2024,10,0.8047651548055067,0.599999999999909,16117
IM0000,2024,10,1.2904959557259166,1.0,18792
IC0000,2024,11,1.0329230623010357,1.0,21043
IF0000,2024,11,0.4995736306986131,0.40000000000009095,21343
IH0000,2024,11,0.4435010207820797,0.40000000000009095,19103
IM0000,2024,11,0.7930603060306566,0.6000000000003638,22220
IC0000,2024,12,0.958392780928016,1.0,16401
IF0000,2024,12,0.4641575492341415,0.40000000000009095,15995
IH0000,2024,12,0.4404486145726483,0.40000000000009095,13642
IM0000,2024,12,0.783497900351876,0.7999999999992724,17622
IC0000,2025,1,1.0962696524917475,1.0,17237
IF0000,2025,1,0.4867732221450162,0.40000000000009095,17268
IH0000,2025,1,0.45156550398242157,0.40000000000009095,14564
IM0000,2025,1,0.7799499547463543,0.7999999999992724,18783
IC0000,2025,2,0.8727910068899006,0.8000000000001819,16546
IF0000,2025,2,0.4103945279101009,0.40000000000009095,16374
IH0000,2025,2,0.38081265731751407,0.40000000000009095,13905
IM0000,2025,2,0.6459222646596628,0.6000000000003638,17804
IC0000,2025,3,0.917706692913413,0.8000000000001819,20320
IF0000,2025,3,0.41877464361541517,0.40000000000009095,19782
IH0000,2025,3,0.3794060314184068,0.40000000000009095,17442
IM0000,2025,3,0.6856370302475098,0.6000000000003638,21820
IC0000,2025,4,1.0372788127237644,1.0,19271
IF0000,2025,4,0.4544096307841165,0.40000000000009095,18607
IH0000,2025,4,0.38480589437186014,0.40000000000009095,16151
IM0000,2025,4,0.7584205607477115,0.6000000000003638,21400
IC0000,2025,5,0.6649511292727469,0.6000000000003638,18109
IF0000,2025,5,0.3628941408745237,0.40000000000009095,17221
IH0000,2025,5,0.33528520253513683,0.3999999999996362,14516
IM0000,2025,5,0.5909240246406937,0.5999999999994543,19480
IC0000,2025,6,0.7184023168818484,0.6000000000003638,16574
IF0000,2025,6,0.37182783018867815,0.40000000000009095,16960
IH0000,2025,6,0.3255901086549343,0.3999999999996362,13345
IM0000,2025,6,0.5765123456790342,0.5999999999994543,19440
IC0000,2025,7,0.809959482420616,0.8000000000001819,15302
IF0000,2025,7,0.39702286691582134,0.40000000000009095,15787
IH0000,2025,7,0.34751888609094916,0.3999999999996362,13502
IM0000,2025,7,0.5799603736201803,0.5999999999994543,17665
IC0000,2025,8,0.8618664691567374,0.8000000000001819,18902
IF0000,2025,8,0.447665108280953,0.40000000000009095,18609
IH0000,2025,8,0.3785645472061632,0.40000000000009095,16608
IM0000,2025,8,0.6693563689020116,0.6000000000003638,20027
IC0000,2025,9,1.0665239496923105,1.0,22422
IF0000,2025,9,0.5196303808880351,0.4000000000005457,22185
IH0000,2025,9,0.4255568200292629,0.40000000000009095,18453
IM0000,2025,9,0.8743402389753797,0.8000000000001819,23266
IC0000,2025,10,1.008011920453924,1.0,17449
IF0000,2025,10,0.5062892712431959,0.4000000000005457,17029
IH0000,2025,10,0.4362084394575617,0.40000000000009095,14527
IM0000,2025,10,0.8493095544250365,0.8000000000001819,17887
IC0000,2025,11,0.9120152319872034,0.8000000000001819,19958
IF0000,2025,11,0.4519932449721263,0.3999999999996362,19541
IH0000,2025,11,0.3745387453874507,0.40000000000009095,16260
IM0000,2025,11,0.7293746664726468,0.6000000000003638,20613
IC0000,2025,12,0.8473636197774402,0.8000000000001819,21924
