tod,avg_spread,n,code,year,month
580,0.7856231884058233,1725,IF0000,2021,2
581,0.7724770642201891,1744,IF0000,2021,2
582,0.8017431725741023,1721,IF0000,2021,2
583,0.7803550295858097,1690,IF0000,2021,2
584,0.7773341162654328,1703,IF0000,2021,2
585,0.7817867435158709,1735,IF0000,2021,2
570,1.152339499455946,2757,IC0000,2021,3
571,0.9713974591651839,2755,IC0000,2021,3
572,0.9854227405247983,2744,IC0000,2021,3
573,1.0196064139941798,2744,IC0000,2021,3
574,1.0664236237695979,2743,IC0000,2021,3
575,1.018334550767006,2738,IC0000,2021,3
576,1.0022752293578188,2725,IC0000,2021,3
577,0.9566874312935238,2729,IC0000,2021,3
578,0.9409509767784798,2713,IC0000,2021,3
579,0.9527448071216746,2696,IC0000,2021,3
580,0.9960842260805393,2707,IC0000,2021,3
581,0.9742793791574446,2706,IC0000,2021,3
582,0.9209131075110576,2716,IC0000,2021,3
583,0.9228729281768034,2715,IC0000,2021,3
584,0.8841440772373126,2693,IC0000,2021,3
585,0.9445298207098645,2733,IC0000,2021,3
570,0.7470438882843801,2757,IF0000,2021,3
571,0.6587681159420352,2760,IF0000,2021,3
572,0.6496011602610717,2758,IF0000,2021,3
573,0.6795067101922566,2757,IF0000,2021,3
574,0.6854552049329097,2757,IF0000,2021,3
575,0.6723249909321936,2757,IF0000,2021,3
576,0.6428467683369831,2754,IF0000,2021,3
577,0.6508363636363766,2750,IF0000,2021,3
578,0.6555271798613844,2741,IF0000,2021,3
579,0.6601307189542619,2754,IF0000,2021,3
580,0.6689429713040477,2753,IF0000,2021,3
581,0.6482558139535045,2752,IF0000,2021,3
582,0.641615132775566,2749,IF0000,2021,3
583,0.6624908958485334,2746,IF0000,2021,3
584,0.623345454545476,2750,IF0000,2021,3
585,0.640610243370894,2753,IF0000,2021,3
570,1.3064696485623248,2504,IC0000,2021,4
571,1.1987951807229136,2490,IC0000,2021,4
572,1.2951619352259371,2501,IC0000,2021,4
573,1.2777956556717678,2486,IC0000,2021,4
574,1.3023742454728542,2485,IC0000,2021,4
575,1.27138787138789,2457,IC0000,2021,4
576,1.3192810457516426,2448,IC0000,2021,4
577,1.2909090909090968,2464,IC0000,2021,4
578,1.264276781992528,2399,IC0000,2021,4
579,1.2205700123916008,2421,IC0000,2021,4
580,1.2699166666666948,2400,IC0000,2021,4
581,1.2063383297644485,2335,IC0000,2021,4
582,1.1947506561679841,2286,IC0000,2021,4
583,1.2237780713342254,2271,IC0000,2021,4
584,1.2407133536320272,2299,IC0000,2021,4
585,1.2590260285474613,2382,IC0000,2021,4
570,0.7372813990461179,2516,IF0000,2021,4
571,0.623421992854331,2519,IF0000,2021,4
572,0.6021522518931944,2509,IF0000,2021,4
573,0.6355467196819171,2515,IF0000,2021,4
574,0.6444709626094091,2514,IF0000,2021,4
575,0.6518459706232855,2519,IF0000,2021,4
576,0.6623510722795997,2518,IF0000,2021,4
577,0.653937947494036,2514,IF0000,2021,4
578,0.6440623750499946,2501,IF0000,2021,4
579,0.6291098636728173,2494,IF0000,2021,4
580,0.6478068410463005,2485,IF0000,2021,4
581,0.6184063745020032,2510,IF0000,2021,4
582,0.6139534883720966,2494,IF0000,2021,4
583,0.585056542811,2476,IF0000,2021,4
584,0.6086991542489077,2483,IF0000,2021,4
585,0.6073600000000068,2500,IF0000,2021,4
570,1.0967862133209232,2147,IC0000,2021,5
571,1.0018561484918727,2155,IC0000,2021,5
572,1.0231412639405468,2152,IC0000,2021,5
573,1.0199158485273567,2139,IC0000,2021,5
574,1.0526119402985121,2144,IC0000,2021,5
575,0.9960151802656768,2108,IC0000,2021,5
576,1.0071326676177175,2103,IC0000,2021,5
577,0.9753934191702635,2097,IC0000,2021,5
578,0.9891762452107387,2088,IC0000,2021,5
579,0.9985597695631283,2083,IC0000,2021,5
580,0.9699762470308937,2105,IC0000,2021,5
581,1.02190476190477,2100,IC0000,2021,5
582,0.9823135755258265,2092,IC0000,2021,5
583,1.059382655561019,2041,IC0000,2021,5
584,0.9678058444774749,2019,IC0000,2021,5
585,1.06472019464721,2055,IC0000,2021,5
570,0.7761595547309894,2156,IF0000,2021,5
571,0.6511821974965425,2157,IF0000,2021,5
572,0.6825500232666527,2149,IF0000,2021,5
573,0.6640037157454889,2153,IF0000,2021,5
574,0.6708005552984807,2161,IF0000,2021,5
575,0.653749417792271,2147,IF0000,2021,5
576,0.6665105386417032,2135,IF0000,2021,5
577,0.6695042095416365,2138,IF0000,2021,5
578,0.6614379084967538,2142,IF0000,2021,5
579,0.6705552963135808,2143,IF0000,2021,5
580,0.6259897531439417,2147,IF0000,2021,5
581,0.6738072965388339,2138,IF0000,2021,5
582,0.6541176470588287,2125,IF0000,2021,5
583,0.678330206379,2132,IF0000,2021,5
584,0.6226540284360298,2110,IF0000,2021,5
585,0.6813270142180217,2110,IF0000,2021,5
570,1.2221153846153925,2496,IC0000,2021,6
571,1.091977309562401,2468,IC0000,2021,6
572,1.0362236628849277,2468,IC0000,2021,6
573,1.0789601949634513,2462,IC0000,2021,6
574,1.0617394855042992,2449,IC0000,2021,6
575,1.076446617766921,2454,IC0000,2021,6
576,1.0459150326797642,2448,IC0000,2021,6
577,1.0173338836153567,2423,IC0000,2021,6
578,0.9925000000000194,2400,IC0000,2021,6
579,1.058919803600674,2444,IC0000,2021,6
580,1.0797380270159767,2443,IC0000,2021,6
581,1.0362879733666392,2403,IC0000,2021,6
582,1.0245299145299354,2340,IC0000,2021,6
583,1.0549070471249746,2313,IC0000,2021,6
584,1.0102497846683922,2322,IC0000,2021,6
585,0.9989804587935616,2354,IC0000,2021,6
570,0.775547590601368,2511,IF0000,2021,6
571,0.655608591885456,2514,IF0000,2021,6
572,0.6857710651828406,2516,IF0000,2021,6
573,0.6886490807354161,2502,IF0000,2021,6
574,0.6716905901116342,2508,IF0000,2021,6
575,0.6817855719410234,2509,IF0000,2021,6
576,0.6528211284513862,2499,IF0000,2021,6
577,0.6441926345609187,2471,IF0000,2021,6
578,0.6389735364875853,2494,IF0000,2021,6
579,0.6353507014028184,2495,IF0000,2021,6
580,0.6021591363454698,2501,IF0000,2021,6
581,0.6164262820512997,2496,IF0000,2021,6
582,0.6323588305967325,2497,IF0000,2021,6
583,0.6379838709677675,2480,IF0000,2021,6
584,0.6071572175311752,2487,IF0000,2021,6
585,0.6380570052187963,2491,IF0000,2021,6
570,1.2916214119472604,2578,IC0000,2021,7
571,1.0842349304482455,2588,IC0000,2021,7
572,1.1129854845037406,2549,IC0000,2021,7
573,1.096354992076082,2524,IC0000,2021,7
574,1.123405940594085,2525,IC0000,2021,7
575,1.1266719118804263,2542,IC0000,2021,7
576,1.0929510155316884,2511,IC0000,2021,7
577,1.0569285432293754,2533,IC0000,2021,7
