code,year,month,F,X,sum,sumsq,n
IM0000,2025,8,70,240,0.0,0.0,0
IC0000,2025,9,30,60,41.40000000003511,120093.93999999981,5147
IC0000,2025,9,30,80,23.400000000096952,154977.9799999995,5147
IC0000,2025,9,30,100,66.40000000003693,185777.31999999928,5146
IC0000,2025,9,30,110,65.40000000001783,202139.5599999998,5143
IC0000,2025,9,30,120,-387.3999999999596,232158.919999999,5124
IC0000,2025,9,30,140,-471.6999999999498,288220.4499999987,5111
IC0000,2025,9,30,160,-866.7999999999629,337523.9000000003,5111
IC0000,2025,9,30,180,-740.3999999999651,364245.0599999985,5095
IC0000,2025,9,30,200,-412.29999999997744,382816.3099999988,4978
IC0000,2025,9,30,220,-523.3999999999842,386342.2199999999,4194
IC0000,2025,9,30,240,0.0,0.0,0
IC0000,2025,9,40,60,223.79999999998745,130500.50000000004,5147
IC0000,2025,9,40,80,205.8000000000493,163877.46000000002,5147
IC0000,2025,9,40,100,247.1999999999889,194183.00000000044,5146
IC0000,2025,9,40,110,242.5999999999658,211740.83999999968,5143
IC0000,2025,9,40,120,-225.20000000001892,242499.35999999894,5124
IC0000,2025,9,40,140,-299.1000000000058,300679.29,5111
IC0000,2025,9,40,160,-694.2000000000189,349251.70000000024,5111
IC0000,2025,9,40,180,-582.6000000000204,374637.22000000125,5095
IC0000,2025,9,40,200,-244.5000000000291,393967.15,4978
IC0000,2025,9,40,220,-448.0000000000373,399194.6600000018,4194
IC0000,2025,9,40,240,0.0,0.0,0
IC0000,2025,9,50,60,16.800000000043838,130999.85999999859,5147
IC0000,2025,9,50,80,-1.1999999998943167,163667.81999999873,5147
IC0000,2025,9,50,100,41.80000000004566,195226.4799999974,5146
IC0000,2025,9,50,110,38.40000000002328,213575.71999999793,5143
IC0000,2025,9,50,120,-407.79999999995925,244605.7999999981,5124
IC0000,2025,9,50,140,-486.49999999994543,303643.6499999979,5111
IC0000,2025,9,50,160,-881.5999999999585,351048.4599999981,5111
IC0000,2025,9,50,180,-783.9999999999654,375884.1799999975,5095
IC0000,2025,9,50,200,-483.0999999999858,395774.94999999844,4978
IC0000,2025,9,50,220,-783.0000000000173,402637.90000000177,4194
IC0000,2025,9,50,240,0.0,0.0,0
IC0000,2025,9,60,60,-99.39999999997144,128377.25999999768,5147
IC0000,2025,9,60,80,-117.3999999999096,158569.65999999945,5147
IC0000,2025,9,60,100,-75.99999999996999,191185.4399999987,5146
IC0000,2025,9,60,110,-74.79999999998836,210557.19999999943,5143
IC0000,2025,9,60,120,-517.5999999999713,240022.75999999937,5124
IC0000,2025,9,60,140,-604.6999999999553,300264.7299999996,5111
IC0000,2025,9,60,160,-999.7999999999683,347916.22000000125,5111
IC0000,2025,9,60,180,-901.799999999972,370774.65999999864,5095
IC0000,2025,9,60,200,-578.4999999999945,387175.189999998,4978
IC0000,2025,9,60,220,-757.2000000000071,395928.10000000114,4194
IC0000,2025,9,60,240,0.0,0.0,0
IC0000,2025,9,70,60,13.000000000031832,181493.2999999975,5147
IC0000,2025,9,70,80,-4.999999999906322,155663.3799999984,5147
IC0000,2025,9,70,100,35.00000000003365,183537.79999999786,5146
IC0000,2025,9,70,110,37.40000000001419,201072.11999999773,5143
IC0000,2025,9,70,120,-405.79999999996653,228157.75999999774,5124
IC0000,2025,9,70,140,-489.49999999995634,285880.3699999989,5111
IC0000,2025,9,70,160,-884.5999999999694,332580.7799999992,5111
IC0000,2025,9,70,180,-783.5999999999713,356234.45999999903,5095
IC0000,2025,9,70,200,-456.2999999999811,373370.5099999996,4978
IC0000,2025,9,70,220,-688.5999999999867,381144.25999999983,4194
IC0000,2025,9,70,240,0.0,0.0,0
IF0000,2025,9,30,60,203.59999999999127,27825.340000000608,5125
IF0000,2025,9,30,80,176.89999999998145,35409.31000000043,5125
IF0000,2025,9,30,100,210.80000000002838,42142.520000000084,5125
IF0000,2025,9,30,110,163.19999999995798,45894.56000000025,5123
IF0000,2025,9,30,120,-26.10000000005948,51955.590000000724,5098
IF0000,2025,9,30,140,-209.70000000002892,65761.95000000039,5091
IF0000,2025,9,30,160,-453.0000000000382,76237.13999999988,5088
IF0000,2025,9,30,180,-348.50000000001455,83006.45000000001,5068
IF0000,2025,9,30,200,-336.900000000016,87623.57000000008,4885
IF0000,2025,9,30,220,-445.00000000003365,82783.34000000017,3734
IF0000,2025,9,30,240,0.0,0.0,0
IF0000,2025,9,40,60,285.80000000010114,30630.740000000234,5125
IF0000,2025,9,40,80,259.1000000000913,38001.790000000205,5125
IF0000,2025,9,40,100,293.00000000013824,44428.95999999974,5125
IF0000,2025,9,40,110,246.4000000000715,48532.92,5123
IF0000,2025,9,40,120,58.5000000000573,55056.23000000023,5098
IF0000,2025,9,40,140,-121.0999999999085,69735.38999999924,5091
IF0000,2025,9,40,160,-363.19999999991705,80169.73999999878,5088
IF0000,2025,9,40,180,-260.29999999989013,86579.88999999866,5068
IF0000,2025,9,40,200,-275.0999999998985,91580.20999999858,4885
IF0000,2025,9,40,220,-423.5999999999467,87436.33999999924,3734
IF0000,2025,9,40,240,0.0,0.0,0
IF0000,2025,9,50,60,183.40000000002692,30679.94000000003,5125
IF0000,2025,9,50,80,156.7000000000171,38164.99000000025,5125
IF0000,2025,9,50,100,190.60000000006403,44985.51999999977,5125
IF0000,2025,9,50,110,143.3999999999951,49281.5199999999,5123
IF0000,2025,9,50,120,-36.100000000014006,55780.9500000004,5098
IF0000,2025,9,50,140,-216.69999999997617,70685.26999999947,5091
IF0000,2025,9,50,160,-459.99999999998545,80911.37999999883,5088
IF0000,2025,9,50,180,-356.2999999999611,86805.60999999887,5068
IF0000,2025,9,50,200,-380.09999999998035,91848.84999999896,4885
IF0000,2025,9,50,220,-577.0000000000064,87780.77999999982,3734
IF0000,2025,9,50,240,0.0,0.0,0
IF0000,2025,9,60,60,15.600000000033106,31289.139999999836,5125
IF0000,2025,9,60,80,-11.099999999976717,38344.91000000034,5125
IF0000,2025,9,60,100,22.800000000070213,45454.96000000033,5125
IF0000,2025,9,60,110,-23.599999999997635,49461.84000000037,5123
IF0000,2025,9,60,120,-198.50000000001364,56250.1100000005,5098
IF0000,2025,9,60,140,-378.0999999999849,71519.70999999961,5091
IF0000,2025,9,60,160,-620.1999999999935,82017.69999999949,5088
IF0000,2025,9,60,180,-519.0999999999731,87502.64999999944,5068
IF0000,2025,9,60,200,-533.2999999999665,91802.92999999922,4885
IF0000,2025,9,60,220,-746.5999999999813,87838.8999999993,3734
IF0000,2025,9,60,240,0.0,0.0,0
IF0000,2025,9,70,60,-19.999999999967258,43187.739999999125,5125
IF0000,2025,9,70,80,-46.69999999997708,37703.1899999996,5125
IF0000,2025,9,70,100,-12.79999999993015,44560.719999999514,5125
IF0000,2025,9,70,110,-57.79999999999836,48141.71999999992,5123
IF0000,2025,9,70,120,-225.30000000001291,54541.55000000029,5098
IF0000,2025,9,70,140,-398.6999999999798,70600.14999999916,5091
IF0000,2025,9,70,160,-641.3999999999887,80611.05999999872,5088
IF0000,2025,9,70,180,-546.8999999999633,86317.24999999888,5068
IF0000,2025,9,70,200,-580.0999999999549,90624.32999999826,4885
IF0000,2025,9,70,220,-760.6000000000104,86222.57999999957,3734
IF0000,2025,9,70,240,0.0,0.0,0
IH0000,2025,9,30,60,124.50000000003865,9695.630000000165,5030
IH0000,2025,9,30,80,150.90000000005784,12290.6900000002,5029
IH0000,2025,9,30,100,119.10000000003947,15128.15000000008,5022
IH0000,2025,9,30,110,49.700000000022555,16612.810000000125,5010
IH0000,2025,9,30,120,3.300000000005184,18700.249999999927,4985
IH0000,2025,9,30,140,-35.89999999996871,21548.629999999983,4899
IH0000,2025,9,30,160,-116.19999999997344,23453.75999999995,4582
IH0000,2025,9,30,180,-104.29999999995061,23229.76999999994,3833
IH0000,2025,9,30,200,-111.89999999997463,20078.62999999991,2538
IH0000,2025,9,30,220,113.79999999999018,12843.239999999932,1123
IH0000,2025,9,30,240,0.0,0.0,0
IH0000,2025,9,40,60,215.90000000003738,10048.03000000022,5030
IH0000,2025,9,40,80,242.10000000005584,12603.610000000217,5029
IH0000,2025,9,40,100,211.5000000000373,15437.070000000062,5022
IH0000,2025,9,40,110,142.10000000001946,16914.73000000021,5010
IH0000,2025,9,40,120,100.3000000000061,19134.68999999995,4985
IH0000,2025,9,40,140,61.90000000003511,22104.98999999996,4899
IH0000,2025,9,40,160,-31.399999999982356,23989.799999999923,4582
IH0000,2025,9,40,180,-42.49999999995862,23592.170000000064,3833
IH0000,2025,9,40,200,-29.499999999982265,20639.110000000022,2538
IH0000,2025,9,40,220,124.60000000001128,13223.399999999952,1123
IH0000,2025,9,40,240,0.0,0.0,0
IH0000,2025,9,50,60,164.10000000002992,9465.110000000244,5030
IH0000,2025,9,50,80,190.30000000004839,12074.330000000205,5029
