date,c1115,c1119,c1120,c1129,o1121,code,ym
2020-06-01,5495.5,5505.5,5502.1,5524.8,5502.1,IC0000,2020-06
2020-06-02,5502.700000000001,5499.7,5501.6,5503.700000000001,5501.8,IC0000,2020-06
2020-06-03,5535.6,5537.7,5539.299999999999,5554.1,5539.2,IC0000,2020-06
2020-06-04,5498.1,5503.9,5509.200000000001,5521.299999999999,5509.3,IC0000,2020-06
2020-06-05,5506.799999999999,5504.2,5504.5,5494.9,5504.1,IC0000,2020-06
2020-06-08,5541.9,5538.3,5534.4,5527.8,5534.4,IC0000,2020-06
2020-06-09,5530.8,5532.0,5535.8,5563.5,5536.299999999999,IC0000,2020-06
2020-06-10,5551.299999999999,5549.2,5556.9,5556.5,5557.1,IC0000,2020-06
2020-06-11,5618.2,5627.0,5636.4,5631.2,5636.4,IC0000,2020-06
2020-06-12,5561.700000000001,5556.5,5551.6,5555.6,5552.0,IC0000,2020-06
2020-06-15,5618.6,5628.5,5631.0,5628.6,5630.5,IC0000,2020-06
2020-06-16,5631.6,5633.799999999999,5640.5,5633.7,5640.6,IC0000,2020-06
