win,avg_spread,n,code,year,month
675,0.6254959812799903,39316,IF0000,2020,7
690,0.5789473684209568,19,IF0000,2020,7
780,0.6096041203798381,39608,IF0000,2020,7
795,0.6119716168272946,39460,IF0000,2020,7
810,0.6206929764531056,39453,IF0000,2020,7
825,0.6424445590511724,38780,IF0000,2020,7
840,0.6250471385620086,39246,IF0000,2020,7
855,0.6443978522118398,39110,IF0000,2020,7
870,0.6144119577842898,39606,IF0000,2020,7
885,0.5304460503365364,40130,IF0000,2020,7
900,0.8117647058823101,17,IF0000,2020,7
570,0.7528937206385948,40657,IH0000,2020,7
585,0.7153748345746495,38537,IH0000,2020,7
600,0.7113061854832845,36909,IH0000,2020,7
615,0.6950543824205745,36133,IH0000,2020,7
630,0.632237914177131,36820,IH0000,2020,7
645,0.6674096472282823,34725,IH0000,2020,7
660,0.6765285767975026,34591,IH0000,2020,7
675,0.7169721396840945,33991,IH0000,2020,7
690,1.2999999999999925,12,IH0000,2020,7
780,0.6656547687364361,34852,IH0000,2020,7
795,0.6510526775575118,34341,IH0000,2020,7
810,0.6969357400722658,34625,IH0000,2020,7
825,0.6907012703514519,32983,IH0000,2020,7
840,0.6819159972730826,33737,IH0000,2020,7
855,0.680690045585987,33563,IH0000,2020,7
870,0.6315741165673088,34864,IH0000,2020,7
885,0.5737084633218715,34939,IH0000,2020,7
900,1.0714285714285714,14,IH0000,2020,7
570,1.0159655831740486,37656,IC0000,2020,8
585,1.006403357727126,37168,IC0000,2020,8
600,1.0152359922716436,36230,IC0000,2020,8
615,0.9748226749135396,35246,IC0000,2020,8
630,0.9355925530120524,35558,IC0000,2020,8
645,0.9565434622154778,35226,IC0000,2020,8
660,0.9467589323542631,35405,IC0000,2020,8
675,0.967296705795484,35183,IC0000,2020,8
690,0.9555555555554949,18,IC0000,2020,8
780,0.9186806411837979,35684,IC0000,2020,8
795,0.8721134445423991,35189,IC0000,2020,8
810,0.903485285302503,35033,IC0000,2020,8
825,0.8954457504260613,34627,IC0000,2020,8
840,0.8533337062312046,35756,IC0000,2020,8
855,0.857245930980564,35758,IC0000,2020,8
870,0.8241791294177472,35907,IC0000,2020,8
885,0.6416058194548202,36567,IC0000,2020,8
900,0.9411764705881283,17,IC0000,2020,8
570,0.6740604803320209,37599,IF0000,2020,8
585,0.6340496850756345,36993,IF0000,2020,8
600,0.6240568254056672,36181,IF0000,2020,8
615,0.6107679372198098,35680,IF0000,2020,8
630,0.5905266997783997,35637,IF0000,2020,8
645,0.5944557938940714,35244,IF0000,2020,8
660,0.606126146529342,35324,IF0000,2020,8
675,0.6022361744216805,34881,IF0000,2020,8
690,0.8249999999999886,16,IF0000,2020,8
780,0.5934549850334517,34744,IF0000,2020,8
795,0.5786823935558858,34760,IF0000,2020,8
810,0.5810978437283215,34504,IF0000,2020,8
825,0.5738421509107391,34590,IF0000,2020,8
840,0.5618035335689795,35375,IF0000,2020,8
855,0.5832770414101257,35233,IF0000,2020,8
870,0.5552095875452404,35713,IF0000,2020,8
885,0.4651371135148071,36612,IF0000,2020,8
900,0.7578947368422297,19,IF0000,2020,8
570,0.7826271763712659,36701,IH0000,2020,8
585,0.7384362815514456,34111,IH0000,2020,8
600,0.7062664659390535,31884,IH0000,2020,8
615,0.6754664641194378,30281,IH0000,2020,8
630,0.6460525449397729,30374,IH0000,2020,8
645,0.6251037203292128,29406,IH0000,2020,8
660,0.6394069952844789,29477,IH0000,2020,8
675,0.6538338990095093,28874,IH0000,2020,8
780,0.6297112676056433,28400,IH0000,2020,8
795,0.5856308327990438,28074,IH0000,2020,8
810,0.6201541616576057,28282,IH0000,2020,8
825,0.6054303829208119,27917,IH0000,2020,8
840,0.5971388082866703,29638,IH0000,2020,8
855,0.6032092911383818,29103,IH0000,2020,8
870,0.5665803193756959,30497,IH0000,2020,8
885,0.5012749549101667,32158,IH0000,2020,8
900,1.2250000000000227,16,IH0000,2020,8
690,0.928571428571461,14,IH0000,2020,8
570,0.8147970630227208,39224,IC0000,2020,9
585,0.7640278789140409,38452,IC0000,2020,9
600,0.7848087949083006,38022,IC0000,2020,9
615,0.7939844341153237,37004,IC0000,2020,9
630,0.7655321123455214,36637,IC0000,2020,9
645,0.7743526033902831,36222,IC0000,2020,9
660,0.7849313198067436,36619,IC0000,2020,9
675,0.8122368095120901,36333,IC0000,2020,9
690,0.8315789473685263,19,IC0000,2020,9
780,0.7693422671954913,36565,IC0000,2020,9
795,0.7306602996872208,36438,IC0000,2020,9
