code,tod,avg_ticks,ndays
IM0000,594,111.83389830508474,885
IM0000,595,112.49830508474577,885
IM0000,596,111.43163841807909,885
IM0000,597,111.2180790960452,885
IM0000,598,110.754802259887,885
IM0000,599,111.08700564971751,885
IM0000,600,114.41968325791855,884
IM0000,601,112.78054298642535,884
IM0000,602,112.0180790960452,885
IM0000,603,111.68587570621469,885
IM0000,604,111.21242937853107,885
IM0000,605,112.23728813559322,885
IM0000,606,111.15593220338982,885
IM0000,607,110.19661016949152,885
IM0000,608,109.70621468926554,885
IM0000,609,109.61129943502824,885
IM0000,610,110.94689265536724,885
IM0000,611,109.7683615819209,885
IM0000,612,109.10734463276836,885
IM0000,613,108.54463276836158,885
IM0000,614,108.45197740112994,885
IM0000,615,110.69604519774012,885
IM0000,616,109.65536723163842,885
IM0000,617,108.98983050847458,885
IM0000,618,108.28587570621468,885
IM0000,619,107.8542372881356,885
IM0000,620,109.56158192090396,885
IM0000,621,108.36949152542373,885
IM0000,622,107.39774011299436,885
