win,mean,n,code,year,month
600,0.1629787234042561,235,IH0000,2020,10
615,-0.1639830508474742,236,IH0000,2020,10
630,0.0512711864406506,236,IH0000,2020,10
645,-0.053191489361709865,235,IH0000,2020,10
660,-0.0957264957264864,234,IH0000,2020,10
675,0.15427350427348058,234,IH0000,2020,10
780,0.07058823529410695,204,IH0000,2020,10
795,-0.014893617021284337,235,IH0000,2020,10
810,-0.08577586206896003,232,IH0000,2020,10
825,-0.07076271186445418,236,IH0000,2020,10
840,0.2425531914893385,235,IH0000,2020,10
855,-0.09227467811158603,233,IH0000,2020,10
870,-0.16623931623931662,234,IH0000,2020,10
885,-0.017596566523608664,233,IH0000,2020,10
570,0.027941176470539418,272,IC0000,2020,11
585,-0.962420382165648,314,IC0000,2020,11
600,-0.5342948717949179,312,IC0000,2020,11
615,-0.3156050955414314,314,IC0000,2020,11
630,-0.18360128617362875,311,IC0000,2020,11
645,-0.0780254777069803,314,IC0000,2020,11
660,-0.002588996763795841,309,IC0000,2020,11
675,0.2709265175719001,313,IC0000,2020,11
780,-0.04243542435425696,271,IC0000,2020,11
795,-0.08645161290321172,310,IC0000,2020,11
810,0.03685897435900351,312,IC0000,2020,11
825,-0.15032051282049416,312,IC0000,2020,11
840,0.07411003236249958,309,IC0000,2020,11
855,-0.018530351437726415,313,IC0000,2020,11
870,-0.4601910828025304,314,IC0000,2020,11
885,-0.19551282051283217,312,IC0000,2020,11
570,-0.06642066420662865,271,IF0000,2020,11
585,-0.5321543408359485,311,IF0000,2020,11
600,-0.3764331210190932,314,IF0000,2020,11
615,-0.1790322580645484,310,IF0000,2020,11
630,-0.10477707006376842,314,IF0000,2020,11
645,-0.0926517571884955,313,IF0000,2020,11
660,0.04649681528657033,314,IF0000,2020,11
675,-0.09776357827475574,313,IF0000,2020,11
780,0.013483146067434124,267,IF0000,2020,11
795,-0.09126213592232951,309,IF0000,2020,11
810,0.05519480519480519,308,IF0000,2020,11
825,-0.1627388535031627,314,IF0000,2020,11
840,0.07597402597401594,308,IF0000,2020,11
855,0.01350482315115406,311,IF0000,2020,11
870,-0.11785714285714641,308,IF0000,2020,11
885,-0.08673139158574933,309,IF0000,2020,11
570,0.20073800738007583,271,IH0000,2020,11
585,-0.27556270096463986,311,IH0000,2020,11
600,-0.12666666666665974,315,IH0000,2020,11
615,-0.2224755700325665,307,IH0000,2020,11
630,0.0009677419354976601,310,IH0000,2020,11
645,-0.11262135922329126,309,IH0000,2020,11
660,-0.2291262135922277,309,IH0000,2020,11
675,-0.0141479099678518,311,IH0000,2020,11
780,-0.00839694656490563,262,IH0000,2020,11
795,0.030592105263151013,304,IH0000,2020,11
810,0.01563517915312172,307,IH0000,2020,11
825,-0.02362459546924595,309,IH0000,2020,11
840,-0.03648208469058426,307,IH0000,2020,11
855,-0.09210526315789773,304,IH0000,2020,11
870,-0.07475728155337422,309,IH0000,2020,11
885,0.2615635179152893,307,IH0000,2020,11
570,0.34745762711861017,295,IC0000,2020,12
585,-0.16520467836256778,342,IC0000,2020,12
600,-0.33176470588232404,340,IC0000,2020,12
615,0.10087719298246146,342,IC0000,2020,12
630,0.10409356725150826,342,IC0000,2020,12
645,0.327536231884087,345,IC0000,2020,12
660,0.017201166180701274,343,IC0000,2020,12
675,0.28808139534883564,344,IC0000,2020,12
780,0.26576271186436856,295,IC0000,2020,12
795,0.2929411764705733,340,IC0000,2020,12
810,-0.4161764705882139,340,IC0000,2020,12
825,-0.08973607038119806,341,IC0000,2020,12
840,-0.05481049562678291,343,IC0000,2020,12
855,0.3243401759531229,341,IC0000,2020,12
870,0.1384839650145428,343,IC0000,2020,12
885,-0.2967551622419024,339,IC0000,2020,12
570,0.09595959595952859,297,IF0000,2020,12
585,-0.3032258064516225,341,IF0000,2020,12
600,-0.32756598240469686,341,IF0000,2020,12
615,-0.10029585798822649,338,IF0000,2020,12
630,-0.09677419354834708,341,IF0000,2020,12
645,0.13020527859240363,341,IF0000,2020,12
660,0.07109144542771359,339,IF0000,2020,12
675,0.05941176470587647,340,IF0000,2020,12
780,-0.007823129251722953,294,IF0000,2020,12
795,0.11038575667657081,337,IF0000,2020,12
810,-0.30568862275451114,334,IF0000,2020,12
825,-0.11976744186046194,344,IF0000,2020,12
840,0.07800586510267771,341,IF0000,2020,12
855,-0.09792284866472081,337,IF0000,2020,12
870,0.12448377581120354,339,IF0000,2020,12
885,0.033827893175075806,337,IF0000,2020,12
570,0.16666666666665747,297,IH0000,2020,12
585,-0.21454005934717615,337,IH0000,2020,12
600,-0.19205882352942166,340,IH0000,2020,12
615,-0.01407624633430605,341,IH0000,2020,12
630,-0.11504424778761867,339,IH0000,2020,12
645,-0.02058823529413236,340,IH0000,2020,12
660,-0.12991202346040176,341,IH0000,2020,12
675,-0.0555882352941246,340,IH0000,2020,12
780,0.012671232876702361,292,IH0000,2020,12
795,0.08690476190477896,336,IH0000,2020,12
810,-0.14362017804156488,337,IH0000,2020,12
825,-0.05838323353295183,334,IH0000,2020,12
840,0.021470588235304015,340,IH0000,2020,12
855,-0.07448680351909519,341,IH0000,2020,12
870,0.096176470588204,340,IH0000,2020,12
885,0.0041916167664632535,334,IH0000,2020,12
570,0.0621621621621425,259,IC0000,2021,1
