method,t1,t2,r,x,n_peak,a_sum,a_ss,g_sum,g_ss,v_sum,v_ss,rhits
norm,5,20,1.5,80,3646477,11890125.550000012,2251886165.3812537,68253.6499999734,1175261387.308753,10411315.812499989,60516153.96421866,1739549
norm,5,20,2.0,80,1107831,3471442.6750000077,875589597.810624,16207.174999991299,392600408.6506254,2623752.0375000034,13455167.188281264,533021
norm,5,20,3.0,80,100315,273025.80000000075,59725851.72999992,1711.99999999903,11136364.409999996,114772.71250000005,370850.6017187494,47590
norm,5,20,ALL,120,22089801,93141026.6000001,16891087105.966242,838695.1249998091,9523737145.335623,73576400.47499995,471528637.90326476,10341995
norm,5,20,1.5,120,3634581,14440979.17500003,2741752063.8281198,41216.22499997074,1311299852.6256309,10223865.250000006,56385699.40416668,1739770
norm,5,20,2.0,120,1104550,4224765.6250000065,1110304284.5531228,12439.924999990862,406547075.2831243,2566227.366666672,12338613.766527792,533744
norm,5,20,3.0,120,100001,340895.1500000012,101729664.22749995,1299.4499999993682,11675544.527500024,112254.18333333348,330187.0608333335,47621
norm,5,40,ALL,2,22263261,10724014.85000026,889473902.4375018,335903.299999901,525113827.20624954,74596596.5,755411242.75,9186604
norm,5,40,1.5,2,4003378,2208682.7500000508,387792438.68624973,128181.84999998854,169571123.51875028,16472727.0,213409504.5,1659703
norm,5,40,2.0,2,1704438,990008.8750000219,281204568.2181258,57926.12499999555,80069497.31812476,7153330.0,101108618.5,708608
norm,5,40,3.0,2,363679,239900.2500000051,142374321.83750007,5177.149999999456,33495762.087499984,1529344.0,25519382.5,152629
norm,5,40,ALL,5,22257951,17675896.800000224,2050880305.0612473,710122.3249998735,1190175900.000628,74558034.99999999,645834924.2799999,9753869
norm,5,40,1.5,5,4002817,3492135.1500000525,771817943.0474992,135661.09999998318,375779964.1274997,15435028.799999999,162525280.80000028,1781327
norm,5,40,2.0,5,1704298,1531030.150000023,495457862.97125083,43481.849999993276,184357928.41125023,6505507.400000009,72457114.19999999,765943
norm,5,40,3.0,5,363666,366257.90000000526,249442782.66500023,-4492.600000000934,57231001.55499999,1316971.4000000001,16371138.040000005,166585
norm,5,40,ALL,10,22249101,25718791.100000154,3367053088.0462465,835805.2749998504,1919946374.555623,74493019.10000014,591608442.2099998,9997379
norm,5,40,1.5,10,4001436,4960231.350000035,1212877963.9937525,106142.59999997825,651346373.2537507,14623271.3,133515668.06999981,1837115
norm,5,40,2.0,10,1703950,2141833.50000002,738079559.9512509,22855.549999990864,335772284.49125016,6004045.7,56055781.68999996,790767
norm,5,40,3.0,10,363629,485489.82500000444,302830226.75312424,-10349.87500000174,87677439.25312492,1158792.499999999,11300203.209999988,170992
