code,t1,t2,r,h,n_peak,a_sum,a_ss,g_sum,g_ss,v_sum,v_ss
IM0000,10,60,3.0,60,118495,413773.90000000113,388398088.5299999,-73725.80000000057,222287640.62000006,325906.78333333344,2160291.194166666
IM0000,10,120,ALL,10,22107501,25472707.30000018,3429972693.449996,599414.9999998648,2127562731.840003,73304342.70000018,567512830.2099994
IM0000,10,120,1.5,10,3565534,4522975.400000051,1211010236.2799993,-4718.700000016719,576339004.2699996,14866126.90000001,147048368.67000005
IM0000,10,120,2.0,10,1460310,1936519.3000000159,778220685.4700005,-19111.30000000658,259836410.0100002,6366004.7999999905,67321429.95999996
IM0000,10,120,3.0,10,284599,459135.4000000029,422478950.0400005,-41688.20000000069,173472874.21999988,1319648.6999999976,15394821.209999992
IM0000,10,120,ALL,20,22089801,36706196.20000008,5129954069.659995,574005.1999998451,3052995207.380002,73176619.89999998,526868960.6000004
IM0000,10,120,1.5,20,3563017,6299734.900000028,1616590710.4500012,-19404.500000019747,639918988.6900011,14008267.5,122688031.99500014
IM0000,10,120,2.0,20,1459506,2657061.500000009,991782049.4899998,-22373.00000000751,272737906.5999992,5878785.250000006,53918148.54750008
IM0000,10,120,3.0,20,284472,611625.4000000041,521241223.9599999,-34383.20000000106,148800863.61999995,1185193.0999999982,11623402.084999995
IM0000,10,120,ALL,60,22019001,65056956.50000015,10983839793.969986,446583.39999982115,6416201482.960005,72732992.61666675,475162885.91083384
IM0000,10,120,1.5,60,3552117,10627176.500000041,2830448256.7700033,-55348.40000002652,1308801309.0799994,12539187.899999978,90295867.14277796
IM0000,10,120,2.0,60,1456140,4436372.000000005,1714656467.4600005,-29894.10000001068,664731091.1900007,5088298.016666664,37123649.24638893
IM0000,10,120,3.0,60,284025,1029232.9000000024,917934741.4900008,-55812.3000000018,428858732.4500001,980379.3666666667,7313691.286111112
IM0000,20,120,ALL,10,22107501,25472707.30000018,3429972693.449996,310808.99999988946,2198358529.1400027,73304342.70000018,567512830.2099994
IM0000,20,120,1.5,10,2837905,3576536.300000022,976908179.1500002,-37664.60000001169,356303397.1600009,11948562.700000003,118168844.11000009
IM0000,20,120,2.0,10,782801,1123255.0000000105,676082868.8799994,-66034.60000000187,217312263.8599999,3604989.1999999965,39024812.64
IM0000,20,120,3.0,10,50695,175529.50000000055,357839813.5099995,-43569.000000000065,133708324.40000004,254263.5000000005,3221188.1899999967
IM0000,20,120,ALL,20,22089801,36706196.20000008,5129954069.659995,232119.6999998649,3199786737.43,73176619.89999998,526868960.6000004
IM0000,20,120,1.5,20,2835848,5022152.800000027,1434117215.8199995,-75658.30000001358,482956223.2900003,11302688.000000004,99441745.49000008
IM0000,20,120,2.0,20,782484,1570798.6000000078,973366529.1799996,-78962.10000000315,256815448.29000026,3337766.050000003,31439840.46250005
IM0000,20,120,3.0,20,50677,226264.50000000032,439802084.5500006,-58564.50000000035,171937389.93000013,227652.5500000004,2401969.3925000005
IM0000,20,120,ALL,60,22019001,65056956.50000015,10983839793.969986,-24957.400000158323,6621145624.03998,72732992.61666675,475162885.91083384
IM0000,20,120,1.5,60,2828756,8398387.800000006,2306443336.7800026,-83779.50000001668,971703519.4100008,10121689.76666666,73488302.8338888
IM0000,20,120,2.0,60,781160,2603759.600000001,1632079546.1400018,-100039.200000004,748791637.0999993,2880057.4166666623,21710949.473055553
IM0000,20,120,3.0,60,50628,360064.7000000006,676539766.0899997,-108380.10000000021,413569189.5499995,185180.21666666688,1474834.260833333
