code,n,k_ticks,k_pts,h,s_sum,s_ss,s_n,hits
IM0000,2,16,3.2,20,-124570.20000000147,457020471.0200003,60628,29045
IM0000,2,16,3.2,40,-118105.50000000153,480222178.0100002,60583,29635
IM0000,2,16,3.2,80,-143179.10000000166,671143979.3300021,60501,29551
IM0000,2,16,3.2,120,-149660.00000000154,834145021.5600002,60370,29526
IM0000,2,20,4.0,5,-53134.100000000246,179843070.41000026,21764,10800
IM0000,2,20,4.0,10,-109003.70000000017,341923588.91000044,21751,10338
IM0000,2,20,4.0,20,-115852.00000000045,381505268.7000004,21734,10440
IM0000,2,20,4.0,40,-110008.29999999996,385815412.2299997,21728,10639
IM0000,2,20,4.0,80,-138098.20000000024,542394731.619999,21693,10634
IM0000,2,20,4.0,120,-141224.4000000003,628201512.8199998,21643,10583
IM0000,3,0,0.0,5,846095.6999998699,1144096996.249998,22323441,9970730
IM0000,3,0,0.0,10,1006987.0999998534,1845263857.8300009,22314591,10121495
IM0000,3,0,0.0,20,993262.2999998373,2624434997.4899974,22296891,10185361
IM0000,3,0,0.0,40,954619.5999998249,4336919542.419994,22261491,10209936
IM0000,3,0,0.0,80,981195.4999998215,6988656762.970013,22190691,10178292
IM0000,3,0,0.0,120,994713.4999998208,9015548614.690008,22119891,10151639
IM0000,3,1,0.2,5,688866.8999995644,971235504.8500001,15662499,7605527
IM0000,3,1,0.2,10,805863.5999995462,1571172949.4200032,15656556,7695869
IM0000,3,1,0.2,20,796358.0999995318,2219966731.070002,15645031,7737097
IM0000,3,1,0.2,40,778757.7999995244,3600150364.8000035,15622889,7755477
IM0000,3,1,0.2,80,840033.0999995241,5615476607.409992,15579961,7732348
IM0000,3,1,0.2,120,842373.9999995215,7415495449.660001,15536810,7714349
IM0000,3,2,0.4,5,510285.09999970393,765640957.8100001,11126684,5416926
IM0000,3,2,0.4,10,574179.4999996873,1273189867.8699992,11122621,5464994
IM0000,3,2,0.4,20,552285.599999675,1695225618.4400036,11115211,5486983
IM0000,3,2,0.4,40,534363.7999996688,2825437887.300004,11101510,5503670
IM0000,3,2,0.4,80,570788.7999996678,4457455017.620006,11075831,5490448
IM0000,3,2,0.4,120,556859.5999996675,5816766266.960017,11049665,5477993
IM0000,3,3,0.6,5,387704.19999979116,642144593.8999989,8097327,3950438
IM0000,3,3,0.6,10,427099.59999977984,1127929830.1400003,8094516,3976397
IM0000,3,3,0.6,20,401921.6999997705,1455890654.5500019,8089632,3989096
IM0000,3,3,0.6,40,406164.4999997654,2447611167.029996,8080629,4003246
IM0000,3,3,0.6,80,442336.99999976583,3903848222.8000073,8064409,3995407
IM0000,3,3,0.6,120,430996.7999997646,5038084119.63999,8047399,3986610
IM0000,3,4,0.8,5,272885.49999983504,571474590.7899996,5635411,2754098
IM0000,3,4,0.8,10,261378.89999982718,1003257734.1899998,5633518,2766279
IM0000,3,4,0.8,20,251520.9999998214,1298643230.9000037,5630330,2773580
IM0000,3,4,0.8,40,265193.9999998178,2141177687.7399988,5624675,2785723
IM0000,3,4,0.8,80,254602.79999981864,3387917169.6800003,5614820,2780976
IM0000,3,4,0.8,120,243139.2999998167,4409242515.97001,5603995,2775905
IM0000,3,6,1.2,5,80568.49999992372,487338740.2300009,2639601,1282285
IM0000,3,6,1.2,10,40129.39999992014,834916384.0999993,2638787,1286531
IM0000,3,6,1.2,20,57045.99999991778,1068538086.3800013,2637472,1291377
IM0000,3,6,1.2,40,97492.89999991508,1528459756.0100024,2635252,1301200
IM0000,3,6,1.2,80,89077.29999991627,2623061123.430004,2631642,1301595
IM0000,3,6,1.2,120,91978.09999991611,3340705245.050003,2627022,1300723
IM0000,3,8,1.6,5,-1456.6000000339955,434010760.8199994,1424376,688135
IM0000,3,8,1.6,10,-55578.10000003633,739758333.3700017,1423958,689879
IM0000,3,8,1.6,20,-35503.7000000374,910334891.1900005,1423350,693712
IM0000,3,8,1.6,40,11684.899999961457,1258127941.930002,1422319,701037
IM0000,3,8,1.6,80,-29625.200000038603,2176613918.879999,1420613,701629
IM0000,3,8,1.6,120,-53149.100000038336,2694367140.5699983,1418239,701529
IM0000,3,12,2.4,5,-56192.90000000922,357308930.0700004,418329,202421
IM0000,3,12,2.4,10,-122278.80000001003,598288794.7000002,418227,201314
IM0000,3,12,2.4,20,-113394.80000001006,731030822.0400002,418062,203143
IM0000,3,12,2.4,40,-90745.70000001013,902291412.4299995,417815,206129
IM0000,3,12,2.4,80,-152710.90000001073,1498644669.8500037,417415,205540
IM0000,3,12,2.4,120,-160576.00000001004,1806293918.0000005,416706,205679
IM0000,3,16,3.2,5,-76826.70000000317,325011799.8299996,147663,72915
IM0000,3,16,3.2,10,-147571.00000000367,561728885.659999,147629,71421
IM0000,3,16,3.2,20,-141096.50000000364,623884290.5900009,147575,71916
IM0000,3,16,3.2,40,-131304.60000000385,720388559.720001,147508,73231
IM0000,3,16,3.2,80,-170746.80000000403,1103943429.5000055,147381,72913
