code,n,k_ticks,k_pts,x,s_sum,s_ss,s_n,hits
IM0000,16,13,2.6,10,-224720.6500000475,1263339630.88125,3349074,1642282
IM0000,16,16,3.2,10,-267520.6250000308,1201276227.2306278,2110113,1034134
IM0000,16,20,4.0,10,-292349.62500001,1166355306.7206256,1189184,585271
IM0000,16,30,6.0,10,-283649.52500000293,1059463340.1993744,350685,177502
IM0000,16,45,9.0,10,-262926.50000000064,905064389.4099993,81611,43136
IM0000,16,60,12.0,10,-257488.70000000022,834821143.4900014,26672,14315
IM0000,16,90,18.0,10,-248989.77500000017,775752274.4306252,4902,2584
IM0000,20,0,0.0,10,350051.2749998886,2170875007.8181243,22284501,10672234
IM0000,20,1,0.2,10,362131.72499977367,1894163683.6343791,19802716,9728668
IM0000,20,2,0.4,10,328736.7749997992,1755507951.636876,17629402,8678386
IM0000,20,3,0.6,10,279394.3749998153,1704908477.333124,15868424,7819942
IM0000,20,4,0.8,10,217760.2249998187,1639248855.5056226,14002599,6908191
IM0000,20,6,1.2,10,73557.8999998564,1552125873.6350014,10587752,5224982
IM0000,20,8,1.6,10,-38288.17500010688,1498357708.7243755,8231787,4059522
IM0000,20,10,2.0,10,-142967.47500004695,1433032987.729376,6020076,2965626
IM0000,20,13,2.6,10,-231038.5750000539,1336060007.9443748,4140822,2034367
IM0000,20,16,3.2,10,-264033.6500000375,1256342180.1787484,2711543,1330831
IM0000,20,20,4.0,10,-295559.07500001235,1222653518.2231238,1593811,784421
IM0000,20,30,6.0,10,-294877.2750000032,1119902880.159376,506138,255406
IM0000,20,45,9.0,10,-292482.1750000018,1018753066.083125,127051,66885
IM0000,20,60,12.0,10,-260316.20000000036,857663689.4062494,43013,23153
IM0000,20,90,18.0,10,-254171.02499999994,790053114.396875,8350,4406
IM0000,25,0,0.0,10,213698.07499989698,2233994778.103129,22275651,10701378
IM0000,25,1,0.2,10,215077.47499979634,2035081778.0581236,20082720,9865135
IM0000,25,2,0.4,10,203758.7749998168,1920795758.878125,18137029,8926540
IM0000,25,3,0.6,10,179479.4749998281,1842154817.4331253,16541440,8149867
IM0000,25,4,0.8,10,132253.27499982755,1813860946.8731267,14821604,7312230
IM0000,25,6,1.2,10,25668.474999856615,1727978096.078128,11588048,5722132
IM0000,25,8,1.6,10,-78881.37500010838,1645756068.5106232,9273700,4579206
IM0000,25,10,2.0,10,-175551.95000004987,1596746466.1937506,7021519,3465196
IM0000,25,13,2.6,10,-269886.9500000579,1532945084.0387475,5014588,2471709
IM0000,25,16,3.2,10,-308990.37500004366,1438447214.3381245,3414618,1682905
IM0000,25,20,4.0,10,-319444.6750000161,1358568357.8718743,2089999,1032641
IM0000,25,30,6.0,10,-333452.2500000053,1267752004.2524984,714085,359282
IM0000,25,45,9.0,10,-329423.10000000097,1140007886.9312515,192174,100257
