n,k_ticks,k_pts,x,s_sum,s_ss,s_n,hits
5,16,3.2,20,-174236.40000000788,829648957.9575003,392586,191070
5,16,3.2,40,-177570.50000000853,1067093388.8337502,392427,194227
5,16,3.2,80,-266127.7000000083,1762999909.462501,392170,193775
5,16,3.2,120,-254926.8750000086,2013696259.9531238,391572,193539
5,30,6.0,2,-34220.62500000032,140676472.92187512,34872,19614
5,30,6.0,5,-123916.37500000058,418255130.3456243,34865,18573
5,30,6.0,10,-213253.42500000075,678846366.554375,34860,17400
5,30,6.0,20,-193898.30000000037,671169005.2450006,34852,17510
5,30,6.0,40,-198774.8250000006,768958651.3868757,34846,17610
5,30,6.0,80,-284755.97499999986,1155207886.314374,34835,17435
5,30,6.0,120,-261411.90000000046,1128332285.0537522,34775,17299
5,45,9.0,2,-38437.52499999998,123886618.23937505,5711,3403
5,45,9.0,5,-120937.8999999999,376246548.1674999,5708,3305
5,45,9.0,10,-205628.85000000024,629329343.7312499,5706,2885
5,45,9.0,20,-186961.67500000002,593717677.8843749,5702,2962
5,45,9.0,40,-218498.9,701659832.1362497,5700,2946
5,45,9.0,80,-268941.65000000026,888488206.3337504,5698,2891
5,45,9.0,120,-274192.9500000003,886875097.9737505,5694,2754
5,90,18.0,2,-42860.925,123836034.89812502,345,109
5,90,18.0,5,-124968.92500000002,367762389.6081251,345,94
5,90,18.0,10,-197293.47500000003,587428495.245625,345,84
5,90,18.0,20,-184100.47499999998,551423821.7856251,345,76
5,90,18.0,40,-216573.025,641841763.7481251,343,83
5,90,18.0,80,-260831.47500000003,771084726.8806249,341,72
5,90,18.0,120,-253077.12499999997,751922363.323125,341,81
8,0,0.0,2,258090.7499999133,555274935.2724996,22319901,9864796
8,0,0.0,5,575677.9999998823,1269454752.17125,22314591,10335909
8,0,0.0,10,702726.4499998579,2109036661.2137504,22305741,10483921
8,0,0.0,20,696715.2999998378,3013570287.716252,22288041,10549109
8,0,0.0,40,637608.1499998203,4781938671.22374,22252641,10572725
8,0,0.0,80,572935.2499998204,7660254850.791264,22181841,10534033
8,0,0.0,120,501762.3749998124,9883695793.796864,22111041,10509684
8,1,0.2,2,245958.4749997321,510630825.3518744,18226976,8482798
8,1,0.2,5,524764.5749996927,1169910097.9106238,18222830,8846199
8,1,0.2,10,620413.2999996673,1935007110.2262506,18216027,8949459
8,1,0.2,20,607632.3499996465,2634383280.608752,18202842,8991323
8,1,0.2,40,538509.2499996319,4084646826.373749,18176869,9006541
8,1,0.2,80,493013.3749996323,6463291096.360609,18125374,8970910
8,1,0.2,120,480611.4999996258,8398095834.788753,18073551,8950933
8,2,0.4,2,229169.2749997916,433138754.7118751,14944002,7039244
8,2,0.4,5,469126.8999997568,1032697631.4724995,14940841,7297129
8,2,0.4,10,531409.5499997311,1678506690.8837523,14935659,7356459
8,2,0.4,20,500772.5499997122,2243374382.339993,14926019,7376114
8,2,0.4,40,454227.949999698,3543984203.8237453,14907342,7386378
8,2,0.4,80,422471.7499996984,5617615908.007502,14870378,7355902
8,2,0.4,120,373003.4499996939,7197800216.241247,14832695,7338873
8,4,0.8,2,182812.2999998371,391689088.7112499,10087108,4843324
8,4,0.8,5,313670.1499998118,956176114.2062503,10085247,4967527
8,4,0.8,10,315215.4249997955,1498012970.261874,10082289,4977971
8,4,0.8,20,286333.1499997822,1911895905.2012482,10077044,4974431
8,4,0.8,40,245694.0749997734,3070601844.8806252,10066995,4981680
8,4,0.8,80,228476.49999977223,4779820429.846248,10047500,4963628
8,4,0.8,120,179856.1499997679,6018039748.478753,10026448,4951350
8,8,1.6,2,56160.24999993895,339851040.6812507,4224516,2073467
8,8,1.6,5,33001.649999927344,815377075.7025014,4223972,2088113
